,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736791865000,1000.0,
1736791870000,155.0,
1736791875000,572.0,
1736791880000,547.0,
1736791885000,629.0,
1736791890000,703.0,
1736791895000,753.0,
1736791900000,788.0,
1736791905000,815.0,
1736791910000,835.0,
1736791915000,852.0,
1736791920000,865.0,
1736791925000,877.0,
1736791930000,947.0,
1736791935000,948.0,
1736791940000,990.0,
1736791945000,1000.0,
1736791950000,1000.0,
1736791955000,1000.0,
1736791960000,1000.0,
1736791965000,1000.0,
1736791970000,1000.0,
1736791975000,1000.0,
1736791980000,1000.0,
1736791985000,1000.0,
1736791990000,1000.0,
1736791995000,1000.0,
1736792000000,1000.0,
1736792005000,1000.0,
1736792010000,1000.0,
1736792015000,1000.0,
1736792020000,1000.0,
1736792025000,1000.0,
1736792030000,1000.0,
1736792035000,1000.0,
1736792040000,1000.0,
1736792045000,1000.0,
1736792050000,1000.0,
1736792055000,1000.0,
1736792060000,1000.0,
1736792065000,1000.0,
1736792070000,1000.0,
1736792075000,1000.0,
1736792080000,1000.0,
1736792085000,1000.0,
1736792090000,1000.0,
1736792095000,1000.0,
1736792100000,1000.0,
1736792105000,1000.0,
1736792110000,1000.0,
1736792115000,,
1736792140000,1000.0,1000.0
1736792145000,1000.0,929.0
1736792150000,812.0,964.0
1736792155000,851.0,976.0
1736792160000,901.0,982.0
1736792165000,926.0,968.0
1736792170000,941.0,973.0
1736792175000,951.0,977.0
1736792180000,958.0,953.0
1736792185000,963.0,943.0
1736792190000,967.0,949.0
1736792195000,971.0,934.0
1736792200000,973.0,940.0
1736792205000,976.0,927.0
1736792210000,991.0,917.0
1736792215000,1000.0,917.0
1736792220000,1000.0,896.0
1736792225000,1000.0,904.0
1736792230000,1000.0,904.0
1736792235000,994.0,902.0
1736792240000,994.0,913.0
1736792245000,994.0,922.0
1736792250000,994.0,912.0
1736792255000,994.0,921.0
1736792260000,994.0,921.0
1736792265000,994.0,934.0
1736792270000,994.0,944.0
1736792275000,994.0,910.0
1736792280000,994.0,924.0
1736792285000,994.0,924.0
1736792290000,986.0,923.0
1736792295000,993.0,924.0
1736792300000,993.0,920.0
1736792305000,993.0,922.0
1736792310000,993.0,932.0
1736792315000,993.0,925.0
1736792320000,993.0,925.0
1736792325000,993.0,929.0
1736792330000,990.0,928.0
1736792335000,990.0,962.0
1736792340000,990.0,965.0
1736792345000,990.0,965.0
1736792350000,985.0,963.0
1736792355000,985.0,963.0
1736792360000,985.0,958.0
1736792365000,984.0,958.0
1736792370000,984.0,958.0
1736792375000,980.0,972.0
1736792380000,980.0,963.0
1736792385000,980.0,
1736792390000,,
