,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736791865000,0.0,
1736791870000,0.0,
1736791875000,1585.85,
1736791880000,2872.5166666666,
1736791885000,7024.9,
1736791890000,9790.783333329999,
1736791895000,15723.966666659999,
1736791900000,15723.966666659999,
1736791905000,18021.78333333,
1736791910000,21524.4,
1736791915000,21524.4,
1736791920000,22824.93333333,
1736791925000,28135.53333333,
1736791930000,28135.53333333,
1736791935000,26549.683333330002,
1736791940000,28447.66666666,
1736791945000,27369.883333330003,
1736791950000,24604.0,
1736791955000,20945.78333333,
1736791960000,25164.633333330003,
1736791965000,22866.816666659997,
1736791970000,20835.55,
1736791975000,24718.266666659998,
1736791980000,29325.16666666,
1736791985000,27656.73333333,
1736791990000,30096.36666666,
1736791995000,30096.36666666,
1736792000000,30297.55,
1736792005000,29514.433333330002,
1736792010000,29514.433333330002,
1736792015000,31510.883333330003,
1736792020000,28999.3,
1736792025000,29391.35,
1736792030000,33376.11666666,
1736792035000,29493.4,
1736792040000,24123.46666666,
1736792045000,21407.05,
1736792050000,23401.73333333,
1736792055000,29009.23333333,
1736792060000,27017.1,
1736792065000,29082.55,
1736792070000,29082.55,
1736792075000,26882.516666659998,
1736792080000,29116.28333333,
1736792085000,28724.23333333,
1736792090000,27522.9,
1736792095000,28693.35,
1736792100000,28155.85,
1736792105000,28969.066666659997,
1736792110000,27991.2,
1736792115000,,
1736792140000,0.0,0.0
1736792145000,0.0,3736.33333333
1736792150000,3750.03333333,5433.21666667
1736792155000,6486.1,6445.266666670001
1736792160000,6486.1,6457.65
1736792165000,8113.95,9735.9
1736792170000,9735.98333333,9735.9
1736792175000,9735.98333333,10099.76666666
1736792180000,10412.65,13599.18333333
1736792185000,14016.783333329999,16339.25
1736792190000,16419.766666659998,16339.25
1736792195000,16684.96666666,19480.1
1736792200000,19531.95,19480.1
1736792205000,19531.95,16672.2
1736792210000,18246.766666659998,16935.2
1736792215000,15985.75,15923.15
1736792220000,16405.45,18877.45
1736792225000,17332.65,15599.2
1736792230000,15710.616666659998,17984.63333333
1736792235000,18517.066666659997,18058.6
1736792240000,17840.4,15198.81666666
1736792245000,14921.016666659998,13695.33333333
1736792250000,16471.78333333,16381.06666666
1736792255000,17781.55,16102.16666666
1736792260000,16215.16666666,16102.16666666
1736792265000,16470.95,18131.35
1736792270000,16729.96666666,16171.466666659999
1736792275000,16254.91666666,18248.66666666
1736792280000,19173.08333333,16533.33333333
1736792285000,16618.03333333,16810.516666659998
1736792290000,18964.566666659997,16744.03333333
1736792295000,16410.816666659997,16306.2
1736792300000,16695.233333329998,18545.38333333
1736792305000,18626.08333333,17308.8
1736792310000,14672.33333333,15120.58333333
1736792315000,14666.68333333,17101.5
1736792320000,17531.33333333,17470.58333333
1736792325000,17275.55,16289.18333333
1736792330000,17398.266666659998,17328.7
1736792335000,17398.266666659998,15515.68333333
1736792340000,15987.58333333,16793.43333333
1736792345000,16881.983333329998,16516.25
1736792350000,15917.93333333,17313.18333333
1736792355000,17381.28333333,17313.18333333
1736792360000,17096.86666666,17431.05
1736792365000,17505.86666666,17431.05
1736792370000,17505.86666666,17884.28333333
1736792375000,16925.816666659997,13829.616666659998
1736792380000,15441.91666666,15717.0
1736792385000,17882.233333329998,
1736792390000,,
