,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737493665000,1000.0
1737493670000,31.0
1737493675000,17.0
1737493680000,26.0
1737493685000,20.0
1737493690000,61.0
1737493695000,200.0
1737493700000,304.0
1737493705000,386.0
1737493710000,452.0
1737493715000,507.0
1737493720000,552.0
1737493725000,589.0
1737493730000,670.0
1737493735000,753.0
1737493740000,833.0
1737493745000,916.0
1737493750000,981.0
1737493755000,990.0
1737493760000,996.0
1737493765000,999.0
1737493770000,1000.0
1737493775000,1000.0
1737493780000,1000.0
1737493785000,1000.0
1737493790000,1000.0
1737493795000,1000.0
1737493800000,1000.0
1737493805000,1000.0
1737493810000,1000.0
1737493815000,1000.0
1737493820000,1000.0
1737493825000,1000.0
1737493830000,1000.0
1737493835000,1000.0
1737493840000,1000.0
1737493845000,1000.0
1737493850000,1000.0
1737493855000,1000.0
1737493860000,1000.0
1737493865000,1000.0
1737493870000,1000.0
1737493875000,1000.0
1737493880000,1000.0
1737493885000,1000.0
1737493890000,1000.0
1737493895000,1000.0
1737493900000,1000.0
1737493905000,
