,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737221810000,1000.0
1737221815000,408.0
1737221820000,304.0
1737221825000,213.0
1737221830000,397.0
1737221835000,517.0
1737221840000,598.0
1737221845000,655.0
1737221850000,698.0
1737221855000,732.0
1737221860000,759.0
1737221865000,781.0
1737221870000,799.0
1737221875000,848.0
1737221880000,915.0
1737221885000,996.0
1737221890000,1000.0
1737221895000,1000.0
1737221900000,1000.0
1737221905000,1000.0
1737221910000,1000.0
1737221915000,1000.0
1737221920000,1000.0
1737221925000,1000.0
1737221930000,1000.0
1737221935000,1000.0
1737221940000,1000.0
1737221945000,1000.0
1737221950000,1000.0
1737221955000,1000.0
1737221960000,1000.0
1737221965000,1000.0
1737221970000,1000.0
1737221975000,1000.0
1737221980000,1000.0
1737221985000,1000.0
1737221990000,1000.0
1737221995000,1000.0
1737222000000,1000.0
1737222005000,1000.0
1737222010000,1000.0
1737222015000,1000.0
1737222020000,1000.0
1737222025000,1000.0
1737222030000,1000.0
1737222035000,1000.0
1737222040000,1000.0
1737222045000,1000.0
1737222050000,
