Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,18147.602083329635,8140.704821077813,37476.31770832969,8936.596493770956,
2,1,20489.32536231575,6981.074503954508,76019.81400965825,6147.370712375541,
3,1,23976.74570706697,6227.578865188402,106850.44444444076,8015.81685963153,
4,1,12983.901225487009,6430.5543305076435,128577.33749999676,18522.816096925493,
5,1,49141.5879334428,42267.65323924686,122228.90703299442,33030.882010846515,
