,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1702904185000,0.0,,,,,,,,
1702904190000,0.0,,,,,,,,
1702904195000,0.0,,,,,,,,
1702904200000,0.0,,,,,,,,
1702904205000,59.1,,,,,,,,
1702904210000,563.4833333333,,,,,,,,
1702904215000,999.0166666666,,,,,,,,
1702904220000,2545.8833333333,,,,,,,,
1702904225000,4161.25,,,,,,,,
1702904230000,4622.73333333,,,,,,,,
1702904235000,6993.11666666,,,,,,,,
1702904240000,7588.53333333,,,,,,,,
1702904245000,7588.53333333,,,,,,,,
1702904250000,10160.81666666,,,,,,,,
1702904255000,10160.81666666,,,,,,,,
1702904260000,11438.56666666,,,,,,,,
1702904265000,13116.16666666,,,,,,,,
1702904270000,13299.216666659999,,,,,,,,
1702904275000,14536.35,,,,,,,,
1702904280000,15857.616666659998,,,,,,,,
1702904285000,15394.08333333,,,,,,,,
1702904290000,15394.08333333,,,,,,,,
1702904295000,16054.81666666,,,,,,,,
1702904300000,15590.06666666,,,,,,,,
1702904305000,15806.766666659998,,,,,,,,
1702904310000,15806.766666659998,,,,,,,,
1702904315000,15759.6,,,,,,,,
1702904320000,16035.45,,,,,,,,
1702904325000,16088.633333329999,,,,,,,,
1702904330000,17617.88333333,,,,,,,,
1702904335000,17385.36666666,,,,,,,,
1702904340000,16946.85,,,,,,,,
1702904345000,16946.85,,,,,,,,
1702904350000,17070.58333333,,,,,,,,
1702904355000,17013.86666666,,,,,,,,
1702904360000,16711.483333329998,,,,,,,,
1702904365000,16781.75,,,,,,,,
1702904370000,17211.36666666,,,,,,,,
1702904375000,18019.08333333,,,,,,,,
1702904380000,18187.58333333,,,,,,,,
1702904385000,16987.566666659997,,,,,,,,
1702904390000,16751.816666659997,,,,,,,,
1702904395000,16880.766666659998,,,,,,,,
1702904400000,16705.05,,,,,,,,
1702904405000,16752.1,,,,,,,,
1702904410000,17563.6,,,,,,,,
1702904415000,18191.03333333,,,,,,,,
1702904420000,17389.75,,,,,,,,
