Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,22642.099999997223,904.6206639750571,22642.09999999667,904.6112878781911,
2,1,43253.2933333305,1454.1477874363343,42804.0516666645,2195.533293592458,46372.0
3,1,58459.73650793285,3286.942762445863,55866.273809520004,8293.394271994723,67623.0
3,2,59836.33859648737,2890.58450248066,33731.004385961925,25811.24370753633,60193.0
4,1,74867.01031745666,5066.222517249654,68602.20873015572,15590.193183443273,80511.0
4,2,77593.63083332949,2660.934245300669,55198.57416666367,30219.73124523473,77862.0
5,1,89805.5007936481,6578.523997482809,78462.21507936095,24429.479052143644,95745.0
5,2,89379.57833333049,5366.023512892657,63224.642499996,33958.452224683526,92481.0
6,1,100866.24523809191,6413.398031198033,83835.83730158333,30973.757482278244,108372.0
6,2,28907.172499998,19424.685404004565,36573.06333333017,24387.78105188132,104698.0
7,1,109477.02045454182,27492.11501815989,86976.97878787485,44983.26061339444,120144.0
8,1,40094.671874997286,10618.308980444894,30371.295833331038,16672.974613876606,134626.0
