,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1737807510000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2988000.0,95.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807515000,9.0,19.0,2.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,95.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807520000,9.0,17.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,1.0,78.0,862.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807525000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,78.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807530000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,1.0,145.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807535000,9.0,21.0,1.0,0.0,0.0,11.0,1.0,0.0,9.0,9.0,15.0,7731.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1737807540000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,1.0,91.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807545000,6.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,9.0,1.0,91.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807550000,9.0,21.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,3896.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807555000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2457000.0,82.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807560000,9.0,19.0,2.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,82.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807565000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,1.0,87.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807570000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807575000,9.0,20.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,1.0,167.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807580000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2853000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807585000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807590000,9.0,19.0,2.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,5877000.0,87.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807595000,9.0,19.0,2.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,87.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807600000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,11.0,1407.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807605000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,221.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807610000,9.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,16.0,1812.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737807615000,,,,,,,,,,,,,,,
