Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,BackpressureTime,BackpressureTimeStdErr
0,0.0,0.0,,,,
1,17838.21550925671,1010.9954102806934,789.7605633802817,43.312712443690344,746.9,42.72821631413784
2,37992.58247125827,1451.7140293057428,963.859649122807,1.3446401005453468,869.8181818181819,16.086914571656138
3,64292.787096763386,1376.4466657553933,985.4153005464482,1.557993468991287,793.016129032258,13.109827674389043
4,76611.50964911011,2388.69350018222,932.969298245614,2.697864525590465,735.125,13.46918872693284
5,93257.12499998389,3582.5516788858404,937.4540229885058,7.72360621064222,323.05,38.22867179516211
6,100800.95935670602,2969.7065770452086,822.0450292397661,8.372088909404376,253.64285714285714,36.912199574195625
7,96654.57046781456,4223.228861073813,757.812343358396,13.684437146417254,168.125,30.609570899900255
8,94336.3021857688,3704.181973581828,667.8647540983607,11.586265740456179,148.7704918032787,23.708527415421777
9,108631.93869044607,2456.761779806942,591.3412698412698,16.759997528095802,78.64285714285714,18.498628406329264
10,106608.0650900577,1906.0544836715383,530.6594594594595,13.726063688961299,33.21621621621622,8.496256002455786
11,106746.96120685931,2020.8848894432908,502.9326018808777,15.569200169211866,16.74137931034483,4.390669516362953
