Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 5)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 6)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 7)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 8)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 9)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'Map', 10)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 6)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 7)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 8)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 9)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'Map', 10)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
245,23018.03333333,,,,,,,,,,,1000.0,,,,,,,,,,,955.0,1381.0,359.0,1
250,23014.13333333,,,,,,,,,,,1000.0,,,,,,,,,,,955.0,1381.0,333.0,1
255,23012.7,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,348.0,1
260,23024.1,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,353.0,1
265,23015.233333329998,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,332.0,1
270,23040.9,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,335.0,1
275,23034.71666666,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,355.0,1
280,23045.816666659997,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,344.0,1
285,23048.38333333,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,351.0,1
290,23047.53333333,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,343.0,1
295,23061.833333330003,,,,,,,,,,,1000.0,,,,,,,,,,,959.0,1381.0,329.0,1
300,23092.78333333,,,,,,,,,,,1000.0,,,,,,,,,,,959.0,1381.0,332.0,1
305,23134.566666659997,,,,,,,,,,,1000.0,,,,,,,,,,,959.0,1381.0,322.0,1
310,23145.28333333,,,,,,,,,,,1000.0,,,,,,,,,,,958.0,1381.0,353.0,1
315,23142.53333333,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,343.0,1
320,23148.266666659998,,,,,,,,,,,1000.0,,,,,,,,,,,955.0,1381.0,354.0,1
325,23174.183333330002,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,345.0,1
330,23183.85,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,349.0,1
335,23216.2,,,,,,,,,,,1000.0,,,,,,,,,,,958.0,1381.0,334.0,1
340,23218.25,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,321.0,1
345,23227.66666666,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,337.0,1
350,23225.433333330002,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,324.0,1
355,23222.5,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,353.0,1
360,23217.21666666,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,359.0,1
365,23185.2,,,,,,,,,,,1000.0,,,,,,,,,,,955.0,1381.0,358.0,1
370,23174.133333330003,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,331.0,1
375,23193.383333330003,,,,,,,,,,,1000.0,,,,,,,,,,,956.0,1381.0,352.0,1
380,23186.98333333,,,,,,,,,,,1000.0,,,,,,,,,,,957.0,1381.0,356.0,1
385,,,,,,,,,,,,,,,,,,,,,,,,,,0
415,,0.0,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,1
420,0.0,0.0,,,,,,,,,,1000.0,1000.0,,,,,,,,,,0.0,1381.0,311.0,2
425,1426.3333333333,1482.8333333332998,,,,,,,,,,744.0,673.0,,,,,,,,,,695.0,1381.0,373.0,2
430,3306.35,3372.1,,,,,,,,,,872.0,834.0,,,,,,,,,,799.0,1381.0,323.0,2
435,5234.01666667,5286.41666667,,,,,,,,,,915.0,888.0,,,,,,,,,,830.0,1381.0,339.0,2
440,7148.65,7184.81666666,,,,,,,,,,936.0,916.0,,,,,,,,,,828.0,1381.0,358.0,2
445,9062.783333329999,9093.15,,,,,,,,,,949.0,934.0,,,,,,,,,,836.0,1381.0,300.0,2
450,10989.25,10949.46666666,,,,,,,,,,958.0,945.0,,,,,,,,,,839.0,1381.0,482.0,2
455,12839.216666659999,12830.85,,,,,,,,,,964.0,953.0,,,,,,,,,,845.0,1381.0,330.0,2
460,14600.0,14715.866666659998,,,,,,,,,,968.0,958.0,,,,,,,,,,848.0,1381.0,353.0,2
465,16339.55,16453.43333333,,,,,,,,,,972.0,954.0,,,,,,,,,,853.0,1381.0,349.0,2
470,18067.83333333,18129.11666666,,,,,,,,,,975.0,947.0,,,,,,,,,,854.0,1381.0,406.0,2
475,19793.2,19879.13333333,,,,,,,,,,977.0,946.0,,,,,,,,,,854.0,1381.0,370.0,2
480,21565.45,21660.66666666,,,,,,,,,,979.0,947.0,,,,,,,,,,859.0,1381.0,398.0,2
485,21866.55,21921.233333329998,,,,,,,,,,1000.0,967.0,,,,,,,,,,875.0,1381.0,335.0,2
490,21734.6,21736.25,,,,,,,,,,1000.0,960.0,,,,,,,,,,874.0,1381.0,353.0,2
495,21554.66666666,21583.55,,,,,,,,,,1000.0,955.0,,,,,,,,,,875.0,1381.0,382.0,2
500,21375.983333329998,21467.71666666,,,,,,,,,,1000.0,950.0,,,,,,,,,,882.0,1381.0,382.0,2
505,21203.1,21297.2,,,,,,,,,,1000.0,942.0,,,,,,,,,,883.0,1381.0,412.0,2
510,21030.016666659998,21136.11666666,,,,,,,,,,1000.0,934.0,,,,,,,,,,885.0,1381.0,383.0,2
515,20902.35,21018.066666659997,,,,,,,,,,1000.0,928.0,,,,,,,,,,889.0,1381.0,333.0,2
520,20881.43333333,20904.03333333,,,,,,,,,,1000.0,921.0,,,,,,,,,,889.0,1381.0,406.0,2
525,20889.05,20903.96666666,,,,,,,,,,1000.0,922.0,,,,,,,,,,890.0,1381.0,374.0,2
530,20900.68333333,20906.733333329998,,,,,,,,,,1000.0,923.0,,,,,,,,,,892.0,1381.0,397.0,2
535,20925.0,20950.28333333,,,,,,,,,,1000.0,924.0,,,,,,,,,,897.0,1381.0,373.0,2
