,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737512120000,1000.0
1737512125000,1000.0
1737512130000,0.0
1737512135000,0.0
1737512140000,0.0
1737512145000,0.0
1737512150000,0.0
1737512155000,106.0
1737512160000,229.0
1737512165000,326.0
1737512170000,401.0
1737512175000,461.0
1737512180000,510.0
1737512185000,551.0
1737512190000,693.0
1737512195000,774.0
1737512200000,852.0
1737512205000,936.0
1737512210000,992.0
1737512215000,998.0
1737512220000,1000.0
1737512225000,1000.0
1737512230000,1000.0
1737512235000,1000.0
1737512240000,1000.0
1737512245000,1000.0
1737512250000,1000.0
1737512255000,1000.0
1737512260000,1000.0
1737512265000,1000.0
1737512270000,1000.0
1737512275000,1000.0
1737512280000,1000.0
1737512285000,1000.0
1737512290000,1000.0
1737512295000,1000.0
1737512300000,1000.0
1737512305000,1000.0
1737512310000,1000.0
1737512315000,1000.0
1737512320000,1000.0
1737512325000,1000.0
1737512330000,1000.0
1737512335000,1000.0
1737512340000,1000.0
1737512345000,1000.0
1737512350000,1000.0
1737512355000,1000.0
1737512360000,
