,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737497925000,1000.0
1737497930000,286.0
1737497935000,140.0
1737497940000,103.0
1737497945000,89.0
1737497950000,66.0
1737497955000,130.0
1737497960000,250.0
1737497965000,343.0
1737497970000,416.0
1737497975000,475.0
1737497980000,523.0
1737497985000,562.0
1737497990000,622.0
1737497995000,706.0
1737498000000,787.0
1737498005000,866.0
1737498010000,952.0
1737498015000,998.0
1737498020000,1000.0
1737498025000,1000.0
1737498030000,1000.0
1737498035000,1000.0
1737498040000,1000.0
1737498045000,1000.0
1737498050000,1000.0
1737498055000,1000.0
1737498060000,1000.0
1737498065000,1000.0
1737498070000,1000.0
1737498075000,1000.0
1737498080000,1000.0
1737498085000,1000.0
1737498090000,1000.0
1737498095000,1000.0
1737498100000,1000.0
1737498105000,1000.0
1737498110000,1000.0
1737498115000,1000.0
1737498120000,1000.0
1737498125000,1000.0
1737498130000,1000.0
1737498135000,1000.0
1737498140000,1000.0
1737498145000,1000.0
1737498150000,1000.0
1737498155000,1000.0
1737498160000,1000.0
1737498165000,
