,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737807370000,1000.0
1737807375000,637.0
1737807380000,468.0
1737807385000,631.0
1737807390000,723.0
1737807395000,779.0
1737807400000,816.0
1737807405000,842.0
1737807410000,862.0
1737807415000,877.0
1737807420000,890.0
1737807425000,900.0
1737807430000,908.0
1737807435000,938.0
1737807440000,997.0
1737807445000,1000.0
1737807450000,1000.0
1737807455000,1000.0
1737807460000,1000.0
1737807465000,1000.0
1737807470000,1000.0
1737807475000,1000.0
1737807480000,1000.0
1737807485000,1000.0
1737807490000,1000.0
1737807495000,1000.0
1737807500000,1000.0
1737807505000,1000.0
1737807510000,1000.0
1737807515000,1000.0
1737807520000,1000.0
1737807525000,1000.0
1737807530000,1000.0
1737807535000,1000.0
1737807540000,1000.0
1737807545000,1000.0
1737807550000,1000.0
1737807555000,1000.0
1737807560000,1000.0
1737807565000,1000.0
1737807570000,1000.0
1737807575000,1000.0
1737807580000,1000.0
1737807585000,1000.0
1737807590000,1000.0
1737807595000,1000.0
1737807600000,1000.0
1737807605000,1000.0
1737807610000,1000.0
1737807615000,
