cpu,mem,throughput,occurrences
16.0,1.0,2494.253128061047,5
4.0,32.0,12589.23298840044,5
32.0,1.0,2062.1230079143243,5
1.0,32.0,8938.894056954548,5
2.0,2.0,11353.897953658445,5
4.0,4.0,12612.222273949508,5
32.0,4.0,12655.85663034067,5
2.0,8.0,11838.242854779059,5
4.0,2.0,10460.169651831344,5
4.0,8.0,12477.462391816016,5
2.0,4.0,11698.232742817681,5
32.0,8.0,12014.672547711643,5
8.0,32.0,12140.03114346966,5
2.0,1.0,2664.3103716595106,5
8.0,2.0,9732.629932265085,5
2.0,16.0,11447.039658917429,5
1.0,1.0,2017.3774875314054,5
8.0,16.0,12172.301980345994,5
1.0,16.0,8905.469292921998,5
4.0,1.0,2226.5984150303416,5
32.0,2.0,8838.308823246625,5
8.0,8.0,12940.28154714488,5
16.0,8.0,12497.91891085436,5
32.0,32.0,11676.38688633604,5
4.0,16.0,11967.120487526605,5
1.0,2.0,9241.590854026403,5
16.0,4.0,11734.21749628766,5
32.0,16.0,12839.556678475217,5
2.0,32.0,11372.832278437465,5
1.0,4.0,9527.333364510867,5
16.0,16.0,12600.471319206556,5
8.0,4.0,12879.077120179621,5
16.0,32.0,12778.930707434078,5
1.0,8.0,9281.885735306407,5
16.0,2.0,9007.721462509962,5
8.0,1.0,2099.781556808343,5
