,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737537465000,1000.0
1737537470000,1000.0
1737537475000,0.0
1737537480000,0.0
1737537485000,0.0
1737537490000,0.0
1737537495000,0.0
1737537500000,117.0
1737537505000,243.0
1737537510000,338.0
1737537515000,411.0
1737537520000,470.0
1737537525000,519.0
1737537530000,559.0
1737537535000,703.0
1737537540000,785.0
1737537545000,863.0
1737537550000,948.0
1737537555000,998.0
1737537560000,1000.0
1737537565000,1000.0
1737537570000,1000.0
1737537575000,1000.0
1737537580000,1000.0
1737537585000,1000.0
1737537590000,1000.0
1737537595000,1000.0
1737537600000,1000.0
1737537605000,1000.0
1737537610000,1000.0
1737537615000,1000.0
1737537620000,1000.0
1737537625000,1000.0
1737537630000,1000.0
1737537635000,1000.0
1737537640000,1000.0
1737537645000,1000.0
1737537650000,1000.0
1737537655000,1000.0
1737537660000,1000.0
1737537665000,1000.0
1737537670000,1000.0
1737537675000,1000.0
1737537680000,1000.0
1737537685000,1000.0
1737537690000,1000.0
1737537695000,1000.0
1737537700000,1000.0
1737537705000,
