Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,6445.095833331241,2874.614262335311,13369.269444441386,4421.583217792984,
2,1,12423.451587298572,965.4676373529119,27474.459523805715,3034.8659633800708,32880.0
3,1,16801.767460315237,4091.9145232581914,35912.93015872667,5300.186262679509,41138.0
4,1,25757.558730154764,2691.9951725313945,47698.495238092386,12043.752736430944,52809.0
5,1,25104.313492060955,2995.04873919993,43865.025396821904,15650.184445778965,77810.0
