Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,36137.83062499779,2050.084154537297,
2,80713.68696580475,2340.712998978423,102798.0
3,105208.57390349943,3776.7810760902053,135457.0
4,131522.4063062929,4652.153460656579,153131.0
