Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,4081.0838164241018,5138.255878112432,41216.74637680903,14105.615965614914,
2,1,4577.1870646754,3870.8864384423496,87593.05572138999,6701.104892936522,102798.0
3,1,5479.210539214504,4947.308629270999,115277.72205882044,14584.40354627712,135457.0
4,1,1184.716666666653,1407.2180717050553,142692.80833332954,19083.727987836846,153131.0
