Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,,,1000.0,,,,,,0.0,0.0,-1.0,-1.0,1
5,0.0,,,,,,284.0,,,,,,0.0,0.0,22446.0,1489.0,1
10,456.6333333333,,,,,,409.0,,,,,,52.0,12.0,1043334.0,1576.0,1
15,963.6166666666,,,,,,347.0,,,,,,122.0,8.0,2245568.0,364.0,1
20,963.6166666666,,,,,,260.0,,,,,,91.0,6.0,2245568.0,341.0,1
25,963.6166666666,,,,,,212.0,,,,,,73.0,4.0,2245568.0,383.0,1
30,1686.4333333332997,,,,,,235.0,,,,,,61.0,55.0,3174269.0,1171.0,1
35,3466.21666667,,,,,,330.0,,,,,,165.0,175.0,1869706.0,2273.0,1
40,6125.91666667,,,,,,411.0,,,,,,262.0,271.0,8752698.0,1367.0,1
45,9502.85,,,,,,477.0,,,,,,337.0,338.0,14091953.0,1871.0,1
50,12195.06666666,,,,,,529.0,,,,,,406.0,403.0,7720945.0,1690.0,1
55,14706.98333333,,,,,,572.0,,,,,,455.0,449.0,13243219.0,1538.0,1
60,18065.16666666,,,,,,608.0,,,,,,519.0,508.0,18359893.0,2585.0,1
65,20216.63333333,,,,,,667.0,,,,,,602.0,588.0,13399765.0,2077.0,1
70,22463.15,,,,,,706.0,,,,,,670.0,661.0,10613527.0,1171.0,1
75,24521.05,,,,,,771.0,,,,,,728.0,741.0,16602639.0,2871.0,1
80,26941.383333330003,,,,,,854.0,,,,,,808.0,818.0,19827147.0,2539.0,1
85,29976.4,,,,,,936.0,,,,,,894.0,898.0,11760960.0,1377.0,1
90,32055.98333333,,,,,,990.0,,,,,,973.0,951.0,17065165.0,2171.0,1
