Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,0.0,,,1
5,0.0,,1000.0,,0.0,,,1
10,328.8666666666,,0.0,,0.0,,,1
15,450.4,,0.0,,0.0,,,1
20,586.95,,0.0,,0.0,,,1
25,586.95,,0.0,,0.0,,,1
30,3637.4,,57.0,,37.0,,,1
35,9601.48333333,,167.0,,93.0,,,1
40,16283.36666666,,262.0,,145.0,,,1
45,22884.9,,337.0,,186.0,,,1
50,30398.68333333,,392.0,,220.0,,,1
55,38757.31666666,,438.0,,244.0,,,1
60,46759.23333333,,480.0,,267.0,,,1
65,53344.3,,500.0,,279.0,,,1
70,61921.23333333,,584.0,,322.0,,,1
75,70662.73333332999,,659.0,,366.0,,,1
80,79175.4,,732.0,,406.0,,,1
85,87794.95,,813.0,,453.0,,,1
90,93516.76666666,,857.0,,479.0,,,1
95,96092.28333333,,870.0,,488.0,,,1
100,97597.71666666,,876.0,,494.0,,,1
105,99461.56666665999,,880.0,,496.0,,,1
110,100536.25,,886.0,,497.0,,,1
115,101107.48333332999,,892.0,,504.0,,,1
120,101875.25,,893.0,,505.0,,,1
125,103986.91666665999,,910.0,,515.0,,,1
130,104051.45,,909.0,,514.0,,,1
135,103868.03333333,,910.0,,512.0,,,1
140,103772.08333333,,909.0,,512.0,,,1
145,103655.16666665999,,906.0,,508.0,,,1
150,103456.48333332999,,906.0,,512.0,,,1
155,103596.6,,910.0,,513.0,,,1
160,104221.2,,910.0,,512.0,,,1
165,104452.0,,908.0,,510.0,,,1
170,104817.41666665999,,910.0,,512.0,,,1
175,104497.1,,908.0,,511.0,,,1
180,104498.55,,907.0,,510.0,,,1
185,104423.73333332999,,905.0,,510.0,,,1
190,104435.55,,907.0,,512.0,,,1
195,104651.73333332999,,909.0,,515.0,,,1
200,104695.13333333,,908.0,,515.0,,,1
205,105046.9,,910.0,,515.0,,,1
210,105441.08333333,,911.0,,513.0,,,1
215,105667.81666665999,,912.0,,517.0,,,1
220,104192.61666665999,,900.0,,511.0,,,1
225,103493.81666665999,,902.0,,511.0,,,1
230,103421.03333333,,899.0,,509.0,,,1
235,103866.31666665999,,901.0,,509.0,,,1
240,103600.65,,904.0,,512.0,,,1
245,103806.65,,904.0,,510.0,,,1
250,103696.61666665999,,902.0,,510.0,,,1
255,103780.9,,901.0,,508.0,,,1
260,104048.91666665999,,903.0,,510.0,,,1
265,104044.18333333,,903.0,,509.0,,,1
270,104002.05,,902.0,,507.0,,,1
275,103749.16666665999,,899.0,,504.0,,,1
280,105179.56666665999,,913.0,,509.0,,,1
285,106098.48333332999,,913.0,,510.0,,,1
290,106217.31666665999,,917.0,,511.0,,,1
295,106031.0,,915.0,,510.0,,,1
300,106389.23333332999,,912.0,,505.0,,,1
305,105881.03333333,,910.0,,504.0,,,1
