,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737805190000,1000.0,,,
1737805195000,674.0,,,
1737805200000,486.0,,,
1737805205000,644.0,,,
1737805210000,733.0,,,
1737805215000,786.0,,,
1737805220000,822.0,,,
1737805225000,848.0,,,
1737805230000,867.0,,,
1737805235000,881.0,,,
1737805240000,893.0,,,
1737805245000,902.0,,,
1737805250000,911.0,,,
1737805255000,938.0,,,
1737805260000,996.0,,,
1737805265000,1000.0,,,
1737805270000,1000.0,,,
1737805275000,1000.0,,,
1737805280000,1000.0,,,
1737805285000,1000.0,,,
1737805290000,1000.0,,,
1737805295000,1000.0,,,
1737805300000,1000.0,,,
1737805305000,1000.0,,,
1737805310000,1000.0,,,
1737805315000,1000.0,,,
1737805320000,1000.0,,,
1737805325000,1000.0,,,
1737805330000,1000.0,,,
1737805335000,1000.0,,,
1737805340000,1000.0,,,
1737805345000,1000.0,,,
1737805350000,1000.0,,,
1737805355000,1000.0,,,
1737805360000,1000.0,,,
1737805365000,1000.0,,,
1737805370000,1000.0,,,
1737805375000,1000.0,,,
1737805380000,1000.0,,,
1737805385000,1000.0,,,
1737805390000,1000.0,,,
1737805395000,1000.0,,,
1737805400000,1000.0,,,
1737805405000,1000.0,,,
1737805410000,1000.0,,,
1737805415000,1000.0,,,
1737805420000,1000.0,,,
1737805425000,1000.0,,,
1737805430000,1000.0,,,
1737805435000,1000.0,,,
1737805440000,,,,
1737805460000,1000.0,1000.0,,
1737805465000,1000.0,882.0,,
1737805470000,909.0,931.0,,
1737805475000,931.0,950.0,,
1737805480000,954.0,925.0,,
1737805485000,966.0,924.0,,
1737805490000,973.0,935.0,,
1737805495000,977.0,944.0,,
1737805500000,981.0,951.0,,
1737805505000,968.0,953.0,,
1737805510000,967.0,955.0,,
1737805515000,971.0,959.0,,
1737805520000,973.0,960.0,,
1737805525000,976.0,969.0,,
1737805530000,982.0,964.0,,
1737805535000,986.0,963.0,,
1737805540000,986.0,968.0,,
1737805545000,986.0,971.0,,
1737805550000,986.0,971.0,,
1737805555000,986.0,965.0,,
1737805560000,986.0,965.0,,
1737805565000,996.0,963.0,,
1737805570000,999.0,963.0,,
1737805575000,999.0,960.0,,
1737805580000,999.0,962.0,,
1737805585000,998.0,956.0,,
1737805590000,1000.0,953.0,,
1737805595000,1000.0,950.0,,
1737805600000,1000.0,954.0,,
1737805605000,1000.0,955.0,,
1737805610000,1000.0,950.0,,
1737805615000,999.0,950.0,,
1737805620000,999.0,942.0,,
1737805625000,999.0,943.0,,
1737805630000,999.0,946.0,,
1737805635000,999.0,949.0,,
1737805640000,995.0,949.0,,
1737805645000,995.0,956.0,,
1737805650000,995.0,962.0,,
1737805655000,993.0,967.0,,
1737805660000,993.0,971.0,,
1737805665000,991.0,972.0,,
1737805670000,991.0,978.0,,
1737805675000,988.0,973.0,,
1737805680000,988.0,979.0,,
1737805685000,988.0,982.0,,
1737805690000,986.0,982.0,,
1737805695000,983.0,982.0,,
1737805700000,986.0,977.0,,
1737805705000,986.0,975.0,,
1737805710000,984.0,,,
1737805715000,,,,
1737805735000,,1000.0,,
1737805740000,1000.0,76.0,1000.0,
1737805745000,813.0,469.0,288.0,
1737805750000,907.0,592.0,517.0,
1737805755000,938.0,660.0,641.0,
1737805760000,954.0,708.0,687.0,
1737805765000,960.0,732.0,709.0,
1737805770000,966.0,752.0,727.0,
1737805775000,971.0,775.0,740.0,
1737805780000,975.0,787.0,767.0,
1737805785000,978.0,788.0,773.0,
1737805790000,979.0,803.0,777.0,
1737805795000,981.0,807.0,786.0,
