,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737807050000,0.0
1737807055000,1389.0166666666
1737807060000,2215.0166666666
1737807065000,3533.91666667
1737807070000,6554.383333329999
1737807075000,16257.966666659999
1737807080000,16257.966666659999
1737807085000,18505.316666659997
1737807090000,24293.133333330003
1737807095000,24293.133333330003
1737807100000,24308.183333330002
1737807105000,31038.3
1737807110000,31038.3
1737807115000,29848.65
1737807120000,36242.45
1737807125000,34923.55
1737807130000,31903.083333330003
1737807135000,25070.816666659997
1737807140000,28457.28333333
1737807145000,26209.933333330002
1737807150000,20979.566666659997
1737807155000,24020.583333330003
1737807160000,27688.766666659998
1737807165000,26464.7
1737807170000,26464.7
1737807175000,31768.45
1737807180000,24548.65
1737807185000,26088.6
1737807190000,30430.78333333
1737807195000,27559.46666666
1737807200000,29840.95
1737807205000,29840.95
1737807210000,31102.016666659998
1737807215000,32007.16666666
1737807220000,28323.933333330002
1737807225000,25712.5
1737807230000,31527.516666659998
1737807235000,31495.46666666
1737807240000,31495.46666666
1737807245000,31477.66666666
1737807250000,31889.3
1737807255000,31889.3
1737807260000,31893.566666659997
1737807265000,31893.566666659997
1737807270000,32266.73333333
1737807275000,31990.8
1737807280000,31990.8
1737807285000,32563.53333333
1737807290000,26748.516666659998
1737807295000,
