Parallelism,Throughput_min,Throughput_max,Throughput_mean
52,172969.87816091577,213480.04285713943,194841.6206056205
104,205413.88020832985,238713.4541666632,222235.64118055208
107,11673.62979797791,169761.5104166631,121190.20971794834
110,132908.55222221857,162768.73555555183,148503.0957777741
