Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,14189.854119846927,473.20325530622114,
2,26649.252621717187,751.8153147874268,33296.0
3,37948.05962962073,1119.5175935704062,46094.0
4,52830.46957927528,767.9317551485589,53754.0
5,54231.420108681436,1913.3027240979545,71292.0
6,60531.544886346346,2046.740903593624,77386.0
7,65221.545454525665,2046.7808210023013,85784.0
8,60798.087596876285,1784.655111340668,85787.0
