,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736817760000,-9.223372036854775e+18
1736817765000,-9.223372036854775e+18
1736817770000,-9.223372036854775e+18
1736817775000,-9.223372036854775e+18
1736817780000,-9.223372036854775e+18
1736817785000,-9.223372036854775e+18
1736817790000,-9.223372036854775e+18
1736817795000,-9.223372036854775e+18
1736817800000,-9.223372036854775e+18
1736817805000,-9.223372036854775e+18
1736817810000,-9.223372036854775e+18
1736817815000,-9.223372036854775e+18
1736817820000,-9.223372036854775e+18
1736817825000,-9.223372036854775e+18
1736817830000,-9.223372036854775e+18
1736817835000,-9.223372036854775e+18
1736817840000,-9.223372036854775e+18
1736817845000,-9.223372036854775e+18
1736817850000,-9.223372036854775e+18
1736817855000,-9.223372036854775e+18
1736817860000,-9.223372036854775e+18
1736817865000,-9.223372036854775e+18
1736817870000,-9.223372036854775e+18
1736817875000,-9.223372036854775e+18
1736817880000,-9.223372036854775e+18
1736817885000,-9.223372036854775e+18
1736817890000,-9.223372036854775e+18
1736817895000,-9.223372036854775e+18
1736817900000,-9.223372036854775e+18
1736817905000,-9.223372036854775e+18
1736817910000,-9.223372036854775e+18
1736817915000,-9.223372036854775e+18
1736817920000,-9.223372036854775e+18
1736817925000,-9.223372036854775e+18
1736817930000,-9.223372036854775e+18
1736817935000,-9.223372036854775e+18
1736817940000,-9.223372036854775e+18
1736817945000,
1736817970000,-9.223372036854776e+18
1736817975000,-9.223372036854776e+18
1736817980000,-9.223372036854776e+18
1736817985000,-9.223372036854776e+18
1736817990000,-9.223372036854776e+18
1736817995000,-9.223372036854776e+18
1736818000000,-9.223372036854776e+18
1736818005000,-9.223372036854776e+18
1736818010000,-9.223372036854776e+18
1736818015000,-9.223372036854776e+18
1736818020000,-9.223372036854776e+18
1736818025000,-9.223372036854776e+18
1736818030000,-9.223372036854776e+18
1736818035000,-9.223372036854776e+18
1736818040000,-9.223372036854776e+18
1736818045000,-9.223372036854776e+18
1736818050000,-9.223372036854776e+18
1736818055000,-9.223372036854776e+18
1736818060000,-9.223372036854776e+18
1736818065000,-9.223372036854776e+18
1736818070000,-9.223372036854776e+18
1736818075000,-9.223372036854776e+18
1736818080000,-9.223372036854776e+18
1736818085000,-9.223372036854776e+18
1736818090000,-9.223372036854776e+18
1736818095000,-9.223372036854776e+18
1736818100000,-9.223372036854776e+18
1736818105000,-9.223372036854776e+18
1736818110000,-9.223372036854776e+18
1736818115000,-9.223372036854776e+18
1736818120000,-9.223372036854776e+18
1736818125000,-9.223372036854776e+18
1736818130000,-9.223372036854776e+18
1736818135000,-9.223372036854776e+18
1736818140000,-9.223372036854776e+18
1736818145000,-9.223372036854776e+18
1736818150000,-9.223372036854776e+18
1736818155000,-9.223372036854776e+18
1736818160000,-9.223372036854776e+18
1736818165000,-9.223372036854776e+18
1736818170000,-9.223372036854776e+18
1736818175000,-9.223372036854776e+18
1736818180000,-9.223372036854776e+18
1736818185000,-9.223372036854776e+18
1736818190000,-9.223372036854776e+18
1736818195000,-9.223372036854776e+18
