Parallelism,Throughput_min,Throughput_max,Throughput_mean
1,33729.92499999714,47923.03511904357,38935.14190475857
2,64363.493229159685,70272.06559139195,66902.48133399864
4,106279.79086020096,112317.28817203097,108995.06602149161
8,120302.51774191127,142118.10860212517,132427.61720427574
16,88463.34139785032,107800.07634405325,99707.16591396814
32,92636.8543010738,114607.4989247284,103450.17791666578
52,97329.33010752512,123769.44193548211,109034.5952553746
