,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737227325000,1000.0
1737227330000,452.0
1737227335000,325.0
1737227340000,224.0
1737227345000,403.0
1737227350000,523.0
1737227355000,602.0
1737227360000,659.0
1737227365000,701.0
1737227370000,735.0
1737227375000,761.0
1737227380000,783.0
1737227385000,801.0
1737227390000,847.0
1737227395000,914.0
1737227400000,995.0
1737227405000,1000.0
1737227410000,1000.0
1737227415000,1000.0
1737227420000,1000.0
1737227425000,1000.0
1737227430000,1000.0
1737227435000,1000.0
1737227440000,1000.0
1737227445000,1000.0
1737227450000,1000.0
1737227455000,1000.0
1737227460000,1000.0
1737227465000,1000.0
1737227470000,1000.0
1737227475000,1000.0
1737227480000,1000.0
1737227485000,1000.0
1737227490000,1000.0
1737227495000,1000.0
1737227500000,1000.0
1737227505000,1000.0
1737227510000,1000.0
1737227515000,1000.0
1737227520000,1000.0
1737227525000,1000.0
1737227530000,1000.0
1737227535000,1000.0
1737227540000,1000.0
1737227545000,1000.0
1737227550000,1000.0
1737227555000,1000.0
1737227560000,1000.0
1737227565000,1000.0
1737227570000,
