Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,23670.361559136876,20313.074756844297,31961.70967741607,15787.279692893206,
2,1,44124.11549295479,18011.26580787611,60673.86103286,12918.946247024025,75386.0
3,1,61932.97018778999,17688.20070225663,75318.24671361169,8958.796660423612,107962.0
4,1,119033.7089201845,27345.59537042845,73174.35774647562,9483.838199400783,78139.0
5,1,123423.06085858181,19502.549581828174,97138.65631312772,10278.629798411283,82591.0
6,1,121836.410283685,20036.268360455033,103701.52783687595,15411.336407308354,103259.0
7,1,156654.07450980088,25806.888895076347,110288.54607842852,20851.96863966524,118399.0
8,1,142768.2166666637,51459.098990223254,113229.95707762183,27866.287010367498,
9,1,183649.16019900117,31759.63109653498,117044.38830845417,25489.85886409164,
10,1,242602.85522387704,32034.14404831785,103997.75597014617,28545.106437337126,
11,1,196399.1393034797,30899.97959735787,132814.43358208676,39861.40436776808,
12,1,202401.27537313075,33944.92980169218,116719.29029850442,40859.283416070546,
13,1,233863.83115941682,53347.978842032375,117669.28309178435,42536.04856770311,
14,1,232924.31540403713,43984.16535302766,132226.05555555195,52397.37176639583,
15,1,246593.09900497133,35637.702728196055,131423.10721392746,50920.49749506075,
16,1,281851.63679244946,41044.037215464195,120810.42138364445,56057.0624725043,
