Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,0.0,,,1
5,0.0,,1000.0,,0.0,,,1
10,0.0,,0.0,,0.0,,,1
15,425.75,,0.0,,15.0,,,1
20,761.6833333333,,0.0,,12.0,,,1
25,761.6833333333,,0.0,,9.0,,,1
30,761.6833333333,,0.0,,7.0,,,1
35,3909.26666667,,51.0,,36.0,,,1
40,10305.16666666,,157.0,,96.0,,,1
45,17200.5,,256.0,,164.0,,,1
50,25117.2,,335.0,,218.0,,,1
55,33798.35,,397.0,,261.0,,,1
60,42077.91666666,,450.0,,301.0,,,1
65,51360.25,,493.0,,328.0,,,1
70,60800.2,,585.0,,381.0,,,1
75,69670.76666666,,657.0,,432.0,,,1
80,78598.2,,735.0,,484.0,,,1
85,87356.71666666,,819.0,,538.0,,,1
90,95331.91666665999,,902.0,,593.0,,,1
95,100272.08333333,,952.0,,631.0,,,1
100,102963.75,,967.0,,644.0,,,1
105,105174.25,,969.0,,644.0,,,1
110,106573.81666665999,,969.0,,641.0,,,1
115,107178.91666665999,,972.0,,641.0,,,1
120,108098.66666665999,,971.0,,637.0,,,1
125,108243.0,,972.0,,640.0,,,1
130,108171.2,,972.0,,642.0,,,1
135,108384.63333333,,973.0,,641.0,,,1
140,108677.26666666,,973.0,,641.0,,,1
145,109345.41666665999,,973.0,,639.0,,,1
150,110935.86666665999,,974.0,,638.0,,,1
155,112331.03333333,,973.0,,637.0,,,1
160,109979.03333333,,950.0,,623.0,,,1
165,110335.21666666,,950.0,,619.0,,,1
170,110560.18333333,,950.0,,620.0,,,1
175,110817.61666665999,,949.0,,617.0,,,1
180,111221.18333333,,949.0,,618.0,,,1
185,111140.7,,951.0,,619.0,,,1
190,111313.93333333,,950.0,,613.0,,,1
195,111366.6,,950.0,,612.0,,,1
200,111406.36666665999,,951.0,,615.0,,,1
205,111466.25,,951.0,,614.0,,,1
210,111450.45,,951.0,,616.0,,,1
215,111350.31666665999,,951.0,,615.0,,,1
220,114102.06666665999,,975.0,,634.0,,,1
225,114122.76666666,,976.0,,639.0,,,1
230,114127.61666665999,,976.0,,639.0,,,1
235,113802.4,,975.0,,642.0,,,1
240,113742.96666666,,976.0,,639.0,,,1
245,113837.3,,975.0,,636.0,,,1
250,113916.88333333,,976.0,,640.0,,,1
255,113880.18333333,,977.0,,645.0,,,1
260,113796.5,,977.0,,645.0,,,1
265,113503.55,,977.0,,646.0,,,1
270,113516.43333333,,976.0,,645.0,,,1
275,113571.11666665999,,978.0,,649.0,,,1
280,112269.88333333,,968.0,,643.0,,,1
285,112299.38333333,,967.0,,640.0,,,1
290,112292.96666666,,967.0,,645.0,,,1
295,112627.6,,968.0,,641.0,,,1
300,112380.33333333,,967.0,,645.0,,,1
305,112284.9,,966.0,,645.0,,,1
310,111922.4,,965.0,,642.0,,,1
