Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,14482.04753787602,500.1128263447938,
2,27475.520555548923,833.6167663481175,35502.0
3,39175.817037027846,1125.4288841621976,48130.0
4,51017.26235953902,1621.1632794668283,54362.0
5,59120.45580522842,1910.5633173474778,72067.0
6,61984.99186044691,2178.51383232555,59431.0
7,59863.97848835188,1902.0925977309578,79217.0
