,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1706260890000,0.0,,,,,,,,
1706260895000,0.0,,,,,,,,
1706260900000,0.0,,,,,,,,
1706260905000,496.15,,,,,,,,
1706260910000,1447.55,,,,,,,,
1706260915000,3146.4666666666,,,,,,,,
1706260920000,5932.6,,,,,,,,
1706260925000,6956.86666666,,,,,,,,
1706260930000,9541.93333333,,,,,,,,
1706260935000,10412.21666666,,,,,,,,
1706260940000,11983.58333333,,,,,,,,
1706260945000,11983.58333333,,,,,,,,
1706260950000,14301.3,,,,,,,,
1706260955000,14357.65,,,,,,,,
1706260960000,16037.91666666,,,,,,,,
1706260965000,17147.53333333,,,,,,,,
1706260970000,16450.63333333,,,,,,,,
1706260975000,16502.35,,,,,,,,
1706260980000,14565.616666659998,,,,,,,,
1706260985000,14276.383333329999,,,,,,,,
1706260990000,13630.73333333,,,,,,,,
1706260995000,13255.05,,,,,,,,
1706261000000,12803.966666659999,,,,,,,,
1706261005000,14445.633333329999,,,,,,,,
1706261010000,13714.75,,,,,,,,
1706261015000,13805.91666666,,,,,,,,
1706261020000,13696.05,,,,,,,,
1706261025000,13754.41666666,,,,,,,,
1706261030000,14213.2,,,,,,,,
1706261035000,13517.15,,,,,,,,
1706261040000,14222.6,,,,,,,,
1706261045000,14682.7,,,,,,,,
1706261050000,13256.43333333,,,,,,,,
1706261055000,14443.616666659998,,,,,,,,
1706261060000,15039.383333329999,,,,,,,,
1706261065000,13874.216666659999,,,,,,,,
1706261070000,13540.68333333,,,,,,,,
1706261075000,15214.23333333,,,,,,,,
1706261080000,14947.05,,,,,,,,
1706261085000,13783.283333329999,,,,,,,,
1706261090000,14524.91666666,,,,,,,,
1706261095000,15215.15,,,,,,,,
1706261100000,14079.466666659999,,,,,,,,
1706261105000,14215.58333333,,,,,,,,
1706261110000,15359.766666659998,,,,,,,,
1706261115000,14164.08333333,,,,,,,,
1706261120000,13652.9,,,,,,,,
1706261125000,14877.8,,,,,,,,
