Parallelism,Throughput_min,Throughput_max,Throughput_mean
8,130859.58027208266,146253.65793648118,137598.52097503
16,203947.84204540227,221592.1749999443,213371.70652014855
24,230831.8118517696,246466.31590901,236234.62925581145
32,235312.75542625025,274686.22403090977,259682.94316527172
