,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737229275000,0.0
1737229280000,638.9166666666
1737229285000,2179.0833333333
1737229290000,2179.0833333333
1737229295000,2182.3
1737229300000,10018.73333333
1737229305000,10018.73333333
1737229310000,17685.08333333
1737229315000,19160.43333333
1737229320000,19160.43333333
1737229325000,19160.43333333
1737229330000,20261.08333333
1737229335000,24880.66666666
1737229340000,24241.75
1737229345000,28472.316666659997
1737229350000,28472.316666659997
1737229355000,31994.6
1737229360000,26690.1
1737229365000,26998.86666666
1737229370000,24941.516666659998
1737229375000,23466.16666666
1737229380000,28070.21666666
1737229385000,33706.65
1737229390000,38534.466666659995
1737229395000,33914.88333333
1737229400000,39607.81666666
1737229405000,33837.08333333
1737229410000,39654.466666659995
1737229415000,36128.966666659995
1737229420000,39694.5
1737229425000,39385.733333330005
1737229430000,36458.9
1737229435000,39575.1
1737229440000,35262.81666666
1737229445000,33317.56666666
1737229450000,32843.466666659995
1737229455000,38590.33333333
1737229460000,39119.06666666
1737229465000,44544.78333333
1737229470000,38964.93333333
1737229475000,41739.53333333
1737229480000,38542.06666666
1737229485000,38909.8
1737229490000,41921.83333333
1737229495000,38805.63333333
1737229500000,43839.9
1737229505000,40148.716666659995
1737229510000,35329.11666666
1737229515000,
