,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3
Timestamp,,,,
1708176220000,1000.0,585.0,579.0,
1708176225000,1000.0,583.0,572.0,
1708176230000,1000.0,584.0,564.0,
1708176235000,1000.0,587.0,555.0,
1708176240000,1000.0,587.0,552.0,
1708176245000,1000.0,550.0,509.0,
1708176250000,1000.0,574.0,515.0,
1708176255000,1000.0,587.0,519.0,
1708176260000,1000.0,597.0,532.0,
1708176265000,1000.0,613.0,531.0,
1708176270000,1000.0,591.0,507.0,
1708176275000,1000.0,625.0,539.0,
1708176280000,1000.0,655.0,561.0,
1708176285000,1000.0,676.0,562.0,
1708176290000,1000.0,676.0,554.0,
1708176295000,1000.0,668.0,550.0,
1708176300000,1000.0,639.0,518.0,
1708176305000,1000.0,644.0,517.0,
1708176310000,1000.0,637.0,519.0,
1708176315000,1000.0,631.0,521.0,
1708176320000,1000.0,617.0,516.0,
1708176325000,1000.0,601.0,515.0,
1708176330000,1000.0,606.0,523.0,
1708176335000,1000.0,603.0,518.0,
1708176340000,1000.0,594.0,491.0,
1708176345000,1000.0,577.0,491.0,
1708176350000,1000.0,565.0,505.0,
1708176355000,1000.0,566.0,507.0,
1708176360000,1000.0,564.0,503.0,
1708176365000,1000.0,583.0,519.0,
1708176370000,1000.0,576.0,512.0,
1708176375000,1000.0,607.0,526.0,
1708176380000,1000.0,619.0,528.0,
1708176385000,1000.0,640.0,531.0,
1708176390000,1000.0,639.0,527.0,
1708176395000,1000.0,611.0,500.0,
1708176400000,1000.0,618.0,533.0,
1708176405000,1000.0,627.0,549.0,
1708176410000,1000.0,647.0,545.0,
1708176415000,1000.0,655.0,550.0,
1708176420000,1000.0,662.0,559.0,
1708176425000,1000.0,643.0,546.0,
1708176430000,1000.0,677.0,573.0,
1708176435000,1000.0,672.0,559.0,
1708176440000,1000.0,668.0,560.0,
1708176445000,1000.0,661.0,561.0,
1708176450000,1000.0,651.0,554.0,
1708176455000,,,534.0,
1708176460000,,,,
1708176510000,1000.0,1000.0,1000.0,1000.0
1708176515000,852.0,1000.0,1000.0,483.0
1708176520000,926.0,756.0,437.0,545.0
1708176525000,951.0,748.0,564.0,483.0
1708176530000,947.0,612.0,498.0,437.0
1708176535000,955.0,551.0,443.0,415.0
1708176540000,945.0,518.0,419.0,410.0
1708176545000,939.0,491.0,410.0,393.0
1708176550000,937.0,467.0,389.0,388.0
1708176555000,940.0,448.0,383.0,423.0
1708176560000,946.0,472.0,412.0,418.0
1708176565000,945.0,460.0,409.0,415.0
1708176570000,943.0,452.0,404.0,410.0
1708176575000,955.0,401.0,400.0,405.0
1708176580000,951.0,393.0,396.0,394.0
1708176585000,949.0,374.0,374.0,415.0
1708176590000,950.0,403.0,395.0,419.0
1708176595000,950.0,406.0,402.0,433.0
