Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,,,,1000.0,,,,0.0,0.0,-1.0,-1.0,1
5,1187.2666666666,,,,577.0,,,,0.0,0.0,5315740.0,349.0,1
10,2543.55,,,,459.0,,,,16.0,33.0,5315740.0,349.0,1
15,9025.93333333,,,,610.0,,,,228.0,206.0,11683484.0,2916.0,1
20,14317.31666666,,,,708.0,,,,378.0,389.0,11973565.0,715.0,1
25,15248.5,,,,766.0,,,,499.0,511.0,24964405.0,928.0,1
30,22406.03333333,,,,805.0,,,,695.0,705.0,24964405.0,928.0,1
35,22406.03333333,,,,833.0,,,,739.0,747.0,24964405.0,928.0,1
40,23432.98333333,,,,854.0,,,,904.0,909.0,9285735.0,368.0,1
45,29125.28333333,,,,870.0,,,,898.0,908.0,9285735.0,368.0,1
50,29125.28333333,,,,883.0,,,,908.0,917.0,18683925.0,9815.0,1
55,32314.36666666,,,,894.0,,,,1000.0,1000.0,16337325.0,670.0,1
60,36213.28333333,,,,903.0,,,,1000.0,1000.0,16337325.0,670.0,1
65,35026.01666666,,,,938.0,,,,1000.0,1000.0,22680069.0,8280.0,1
