Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,102950.96919191621,25024.043613314218,102950.96767676424,25024.047412158547,
2,1,163192.67615384277,9641.053128392394,162296.40769230432,11687.164504775665,226412.0
