Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,34888.872395830156,3508.852430804789,21729.97135416328,3143.826570045852,
2,1,61486.008208952386,5064.240801265249,36579.430099499405,2416.7494554325167,47172.0
3,1,83884.46280192956,16179.481521558202,49086.55579709797,3906.486874245164,56600.0
4,1,103984.3524875588,7854.437627025539,56670.57263681284,6744.082219369652,61152.0
5,1,125060.75984848198,9941.62764944472,67203.6484848447,9598.37940094387,70839.0
6,1,140636.29726367822,16627.716651185023,74490.86169153865,13876.815301215816,80155.0
7,1,156873.18816424726,31232.891783191328,83157.62391303986,15419.724546537123,88631.0
8,1,169919.0588235266,21647.73835182987,86021.86348038881,23425.351654270504,99687.0
9,1,158870.93606964865,17152.47433846276,78838.71044775775,22209.511139308062,104875.0
10,1,196927.7635021071,17829.556228900427,96875.05400843582,26479.998695435363,104489.0
11,1,196144.90833333,31136.399958378133,81400.77324561079,38090.88853589001,113115.0
12,1,175436.59022988068,3588.0030319814696,93539.5304597669,2716.401428625324,120290.0
