,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1709759275000,285.0,,,,,,
1709759280000,329.0,,,,,,
1709759285000,410.0,,,,,,
1709759290000,475.0,,,,,,
1709759295000,527.0,,,,,,
1709759300000,570.0,,,,,,
1709759305000,606.0,,,,,,
1709759310000,653.0,,,,,,
1709759315000,673.0,,,,,,
1709759320000,722.0,,,,,,
1709759325000,806.0,,,,,,
1709759330000,881.0,,,,,,
1709759335000,964.0,,,,,,
1709759340000,997.0,,,,,,
1709759345000,1000.0,,,,,,
1709759350000,1000.0,,,,,,
1709759355000,1000.0,,,,,,
1709759360000,1000.0,,,,,,
1709759365000,1000.0,,,,,,
1709759370000,1000.0,,,,,,
1709759690000,871.0,266.0,,,,,
1709759695000,914.0,363.0,,,,,
1709759700000,936.0,347.0,,,,,
1709759705000,949.0,369.0,,,,,
1709759710000,957.0,371.0,,,,,
1709759715000,964.0,384.0,,,,,
1709759720000,968.0,388.0,,,,,
1709759725000,972.0,386.0,,,,,
1709759730000,975.0,377.0,,,,,
1709759735000,977.0,389.0,,,,,
1709759740000,979.0,389.0,,,,,
1709759745000,1000.0,416.0,,,,,
1709759750000,1000.0,402.0,,,,,
1709759755000,1000.0,394.0,,,,,
1709759760000,1000.0,411.0,,,,,
1709759765000,1000.0,404.0,,,,,
1709759770000,1000.0,406.0,,,,,
1709759775000,1000.0,404.0,,,,,
1709759780000,1000.0,405.0,,,,,
1709759785000,1000.0,403.0,,,,,
1709759790000,1000.0,413.0,,,,,
1709759795000,1000.0,415.0,,,,,
1709759800000,1000.0,428.0,,,,,
1709759805000,1000.0,431.0,,,,,
1709759810000,1000.0,437.0,,,,,
1709759815000,1000.0,447.0,,,,,
1709759820000,1000.0,446.0,,,,,
1709759825000,1000.0,446.0,,,,,
1709759830000,1000.0,465.0,,,,,
1709759835000,1000.0,460.0,,,,,
1709759840000,1000.0,461.0,,,,,
1709759845000,1000.0,455.0,,,,,
1709759850000,1000.0,467.0,,,,,
1709759855000,1000.0,464.0,,,,,
1709759860000,1000.0,445.0,,,,,
1709759865000,1000.0,446.0,,,,,
1709759870000,1000.0,449.0,,,,,
1709759875000,1000.0,446.0,,,,,
1709759880000,1000.0,440.0,,,,,
1709759885000,1000.0,445.0,,,,,
1709759890000,1000.0,455.0,,,,,
1709759895000,1000.0,507.0,,,,,
1709759900000,1000.0,553.0,,,,,
1709759905000,1000.0,614.0,,,,,
1709759910000,1000.0,651.0,,,,,
1709759915000,1000.0,637.0,,,,,
1709759920000,1000.0,658.0,,,,,
1709759925000,1000.0,661.0,,,,,
1709759930000,1000.0,666.0,,,,,
1709759935000,1000.0,661.0,,,,,
1709759940000,1000.0,661.0,,,,,
1709759945000,1000.0,662.0,,,,,
1709759950000,1000.0,641.0,,,,,
1709759955000,1000.0,594.0,,,,,
1709759960000,1000.0,550.0,,,,,
1709759965000,1000.0,512.0,,,,,
1709759970000,1000.0,468.0,,,,,
1709759975000,1000.0,478.0,,,,,
1709759980000,1000.0,466.0,,,,,
1709759985000,1000.0,462.0,,,,,
1709759990000,1000.0,452.0,,,,,
1709759995000,1000.0,455.0,,,,,
1709760000000,1000.0,450.0,,,,,
1709760005000,1000.0,443.0,,,,,
1709760010000,1000.0,435.0,,,,,
1709760015000,1000.0,454.0,,,,,
1709760020000,1000.0,442.0,,,,,
1709760025000,1000.0,439.0,,,,,
1709760030000,1000.0,441.0,,,,,
1709760035000,1000.0,438.0,,,,,
1709760040000,1000.0,449.0,,,,,
1709760045000,1000.0,444.0,,,,,
1709760050000,1000.0,443.0,,,,,
1709760055000,1000.0,428.0,,,,,
1709760060000,1000.0,432.0,,,,,
1709760065000,1000.0,437.0,,,,,
1709760070000,1000.0,448.0,,,,,
1709760075000,975.0,412.0,,,,,
1709760080000,,,,,,,
1709760130000,1000.0,,1000.0,,,,
1709760135000,1000.0,1000.0,723.0,,,,
1709760140000,1000.0,756.0,862.0,,,,
1709760145000,1000.0,878.0,908.0,,,,
1709760150000,1000.0,919.0,931.0,,,,
1709760155000,1000.0,939.0,897.0,,,,
1709760160000,1000.0,952.0,748.0,,,,
1709760165000,963.0,938.0,651.0,,,,
1709760170000,965.0,928.0,583.0,,,,
1709760175000,931.0,869.0,538.0,,,,
1709760180000,917.0,859.0,509.0,,,,
1709760185000,880.0,854.0,482.0,,,,
1709760190000,865.0,867.0,470.0,,,,
1709760195000,825.0,877.0,437.0,,,,
1709760200000,803.0,896.0,390.0,,,,
1709760205000,764.0,896.0,336.0,,,,
1709760210000,742.0,896.0,285.0,,,,
1709760215000,697.0,896.0,254.0,,,,
1709760220000,665.0,896.0,294.0,,,,
1709760225000,651.0,907.0,324.0,,,,
1709760230000,631.0,918.0,356.0,,,,
1709760235000,628.0,963.0,378.0,,,,
1709760240000,621.0,982.0,399.0,,,,
1709760245000,644.0,998.0,423.0,,,,
1709760250000,651.0,998.0,438.0,,,,
1709760255000,660.0,999.0,452.0,,,,
1709760260000,677.0,1000.0,456.0,,,,
1709760265000,701.0,1000.0,469.0,,,,
1709760270000,706.0,1000.0,474.0,,,,
1709760275000,745.0,999.0,488.0,,,,
1709760280000,767.0,999.0,481.0,,,,
1709760285000,796.0,998.0,501.0,,,,
1709760290000,816.0,998.0,507.0,,,,
1709760295000,842.0,996.0,518.0,,,,
1709760300000,840.0,996.0,514.0,,,,
1709760305000,846.0,996.0,514.0,,,,
1709760310000,855.0,995.0,518.0,,,,
1709760315000,866.0,994.0,520.0,,,,
1709760320000,852.0,994.0,520.0,,,,
1709760325000,856.0,994.0,516.0,,,,
1709760330000,859.0,994.0,527.0,,,,
1709760335000,850.0,994.0,523.0,,,,
1709760340000,856.0,994.0,529.0,,,,
1709760345000,836.0,993.0,508.0,,,,
1709760350000,804.0,992.0,498.0,,,,
1709760355000,806.0,994.0,491.0,,,,
1709760360000,816.0,990.0,494.0,,,,
1709760365000,801.0,990.0,487.0,,,,
1709760370000,806.0,991.0,493.0,,,,
1709760375000,803.0,989.0,488.0,,,,
1709760380000,801.0,988.0,487.0,,,,
1709760385000,784.0,988.0,498.0,,,,
1709760390000,793.0,988.0,496.0,,,,
1709760395000,782.0,986.0,498.0,,,,
1709760400000,754.0,986.0,492.0,,,,
1709760405000,775.0,988.0,504.0,,,,
1709760410000,800.0,987.0,501.0,,,,
1709760415000,779.0,984.0,500.0,,,,
1709760420000,796.0,987.0,514.0,,,,
1709760425000,798.0,985.0,522.0,,,,
1709760430000,780.0,982.0,507.0,,,,
1709760435000,799.0,985.0,536.0,,,,
1709760440000,810.0,981.0,542.0,,,,
1709760445000,808.0,977.0,533.0,,,,
1709760450000,791.0,977.0,520.0,,,,
1709760455000,807.0,979.0,527.0,,,,
1709760460000,822.0,975.0,539.0,,,,
1709760465000,797.0,975.0,523.0,,,,
1709760470000,805.0,977.0,534.0,,,,
1709760475000,815.0,975.0,536.0,,,,
1709760480000,790.0,976.0,519.0,,,,
1709760485000,814.0,978.0,559.0,,,,
1709760490000,837.0,980.0,606.0,,,,
1709760495000,840.0,980.0,610.0,,,,
1709760500000,851.0,981.0,564.0,,,,
1709760505000,822.0,974.0,527.0,,,,
1709760510000,797.0,974.0,522.0,,,,
1709760515000,757.0,974.0,497.0,,,,
1709760520000,730.0,978.0,476.0,,,,
1709760525000,,978.0,,,,,
1709760530000,,,,,,,
1709760575000,1000.0,,,,,,
