,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737217260000,0.0
1737217265000,941.0833333333
1737217270000,2257.4833333333
1737217275000,5028.88333333
1737217280000,11723.5
1737217285000,17522.11666666
1737217290000,17552.88333333
1737217295000,26799.383333330003
1737217300000,27986.45
1737217305000,27986.45
1737217310000,33523.81666666
1737217315000,36453.58333333
1737217320000,36453.58333333
1737217325000,41107.35
1737217330000,39790.95
1737217335000,42366.6
1737217340000,36190.11666666
1737217345000,33644.11666666
1737217350000,36404.63333333
1737217355000,27470.8
1737217360000,27763.316666659997
1737217365000,34869.43333333
1737217370000,35924.45
1737217375000,38794.11666666
1737217380000,44633.7
1737217385000,42250.85
1737217390000,45134.78333333
1737217395000,39787.733333330005
1737217400000,44767.25
1737217405000,41514.63333333
1737217410000,44508.35
1737217415000,44195.68333333
1737217420000,43840.45
1737217425000,37254.65
1737217430000,37016.31666666
1737217435000,39508.81666666
1737217440000,42091.15
1737217445000,45233.85
1737217450000,48064.08333333
1737217455000,50415.13333333
1737217460000,48709.83333333
1737217465000,48709.83333333
1737217470000,48520.06666666
1737217475000,48520.06666666
1737217480000,50362.366666660004
1737217485000,52540.55
1737217490000,46715.71666666
1737217495000,38423.78333333
1737217500000,30001.86666666
1737217505000,
