,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737800570000,1000.0,,,
1737800575000,577.0,,,
1737800580000,459.0,,,
1737800585000,610.0,,,
1737800590000,708.0,,,
1737800595000,766.0,,,
1737800600000,805.0,,,
1737800605000,833.0,,,
1737800610000,854.0,,,
1737800615000,870.0,,,
1737800620000,883.0,,,
1737800625000,894.0,,,
1737800630000,903.0,,,
1737800635000,938.0,,,
1737800640000,993.0,,,
1737800645000,1000.0,,,
1737800650000,1000.0,,,
1737800655000,1000.0,,,
1737800660000,1000.0,,,
1737800665000,1000.0,,,
1737800670000,999.0,,,
1737800675000,999.0,,,
1737800680000,999.0,,,
1737800685000,999.0,,,
1737800690000,998.0,,,
1737800695000,998.0,,,
1737800700000,998.0,,,
1737800705000,998.0,,,
1737800710000,998.0,,,
1737800715000,998.0,,,
1737800720000,998.0,,,
1737800725000,998.0,,,
1737800730000,999.0,,,
1737800735000,999.0,,,
1737800740000,999.0,,,
1737800745000,998.0,,,
1737800750000,999.0,,,
1737800755000,999.0,,,
1737800760000,999.0,,,
1737800765000,999.0,,,
1737800770000,999.0,,,
1737800775000,999.0,,,
1737800780000,998.0,,,
1737800785000,999.0,,,
1737800790000,999.0,,,
1737800795000,999.0,,,
1737800800000,999.0,,,
1737800805000,999.0,,,
1737800810000,999.0,,,
1737800815000,999.0,,,
1737800820000,,,,
1737800840000,1000.0,1000.0,,
1737800845000,788.0,1000.0,,
1737800850000,874.0,56.0,,
1737800855000,912.0,483.0,,
1737800860000,933.0,636.0,,
1737800865000,933.0,702.0,,
1737800870000,942.0,759.0,,
1737800875000,945.0,793.0,,
1737800880000,952.0,815.0,,
1737800885000,953.0,833.0,,
1737800890000,956.0,852.0,,
1737800895000,958.0,857.0,,
1737800900000,961.0,865.0,,
1737800905000,975.0,871.0,,
1737800910000,977.0,944.0,,
1737800915000,978.0,950.0,,
1737800920000,978.0,948.0,,
1737800925000,983.0,953.0,,
1737800930000,981.0,949.0,,
1737800935000,984.0,941.0,,
1737800940000,984.0,946.0,,
1737800945000,987.0,941.0,,
1737800950000,985.0,939.0,,
1737800955000,985.0,941.0,,
1737800960000,986.0,945.0,,
1737800965000,988.0,951.0,,
1737800970000,987.0,953.0,,
1737800975000,985.0,941.0,,
1737800980000,983.0,946.0,,
1737800985000,980.0,946.0,,
1737800990000,981.0,948.0,,
1737800995000,982.0,959.0,,
1737801000000,982.0,957.0,,
1737801005000,980.0,961.0,,
1737801010000,983.0,954.0,,
1737801015000,980.0,959.0,,
1737801020000,979.0,954.0,,
1737801025000,978.0,951.0,,
1737801030000,979.0,955.0,,
1737801035000,978.0,963.0,,
1737801040000,975.0,956.0,,
1737801045000,978.0,957.0,,
1737801050000,977.0,959.0,,
1737801055000,975.0,956.0,,
1737801060000,971.0,958.0,,
1737801065000,968.0,962.0,,
1737801070000,968.0,969.0,,
1737801075000,972.0,968.0,,
1737801080000,972.0,971.0,,
1737801085000,974.0,973.0,,
1737801090000,,969.0,,
1737801095000,,,,
1737801115000,,,1000.0,
1737801120000,1000.0,1000.0,203.0,
1737801125000,689.0,1000.0,388.0,
1737801130000,816.0,0.0,534.0,
1737801135000,870.0,285.0,618.0,
1737801140000,896.0,469.0,675.0,
1737801145000,908.0,575.0,708.0,
1737801150000,919.0,632.0,725.0,
1737801155000,925.0,676.0,748.0,
1737801160000,933.0,694.0,764.0,
1737801165000,938.0,719.0,769.0,
1737801170000,944.0,736.0,779.0,
1737801175000,948.0,745.0,790.0,
1737801180000,948.0,751.0,841.0,
1737801185000,969.0,756.0,867.0,
