,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737800570000,0.0,,,
1737800575000,1187.2666666666,,,
1737800580000,2543.55,,,
1737800585000,9025.93333333,,,
1737800590000,14317.31666666,,,
1737800595000,15248.5,,,
1737800600000,22406.03333333,,,
1737800605000,22406.03333333,,,
1737800610000,23432.98333333,,,
1737800615000,29125.28333333,,,
1737800620000,29125.28333333,,,
1737800625000,32314.36666666,,,
1737800630000,36213.28333333,,,
1737800635000,35026.01666666,,,
1737800640000,38914.483333330005,,,
1737800645000,34007.26666666,,,
1737800650000,28715.883333330003,,,
1737800655000,33543.0,,,
1737800660000,26385.46666666,,,
1737800665000,27657.23333333,,,
1737800670000,31094.4,,,
1737800675000,30850.28333333,,,
1737800680000,37003.15,,,
1737800685000,34139.7,,,
1737800690000,35947.0,,,
1737800695000,35947.0,,,
1737800700000,36271.86666666,,,
1737800705000,34696.7,,,
1737800710000,39323.06666666,,,
1737800715000,34290.3,,,
1737800720000,34645.8,,,
1737800725000,38811.983333330005,,,
1737800730000,34347.86666666,,,
1737800735000,33911.85,,,
1737800740000,27758.98333333,,,
1737800745000,30439.05,,,
1737800750000,32684.7,,,
1737800755000,37496.45,,,
1737800760000,33996.56666666,,,
1737800765000,35676.5,,,
1737800770000,35348.1,,,
1737800775000,34622.56666666,,,
1737800780000,39890.06666666,,,
1737800785000,34452.11666666,,,
1737800790000,40254.78333333,,,
1737800795000,35494.05,,,
1737800800000,37119.68333333,,,
1737800805000,38058.0,,,
1737800810000,30442.95,,,
1737800815000,26965.4,,,
1737800820000,,,,
1737800840000,0.0,0.0,,
1737800845000,3927.05,0.0,,
1737800850000,9792.65,2933.7333333333,,
1737800855000,10710.6,7230.78333333,,
1737800860000,12638.866666659998,9768.31666666,,
1737800865000,15485.8,12293.966666659999,,
1737800870000,16372.95,15523.15,,
1737800875000,21518.0,16301.633333329999,,
1737800880000,27311.71666666,20185.53333333,,
1737800885000,28782.35,24949.46666666,,
1737800890000,30268.083333330003,27264.15,,
1737800895000,33422.93333333,30127.55,,
1737800900000,35976.75,33255.5,,
1737800905000,35355.41666666,35853.43333333,,
1737800910000,31835.25,35040.95,,
1737800915000,31882.85,31895.78333333,,
1737800920000,32372.883333330003,32411.73333333,,
1737800925000,32819.483333330005,32536.816666659997,,
1737800930000,34699.51666666,32582.6,,
1737800935000,32465.98333333,34160.31666666,,
1737800940000,27602.21666666,30981.883333330003,,
1737800945000,26805.16666666,28826.066666659997,,
1737800950000,31521.316666659997,27754.11666666,,
1737800955000,33361.91666666,30530.2,,
1737800960000,33587.716666659995,32287.0,,
1737800965000,31019.9,30912.683333330002,,
1737800970000,30315.266666659998,31224.45,,
1737800975000,32634.383333330003,32527.98333333,,
1737800980000,33010.3,32758.2,,
1737800985000,32512.7,32877.78333333,,
1737800990000,32400.6,31238.766666659998,,
1737800995000,30270.75,30039.883333330003,,
1737801000000,31833.05,31974.23333333,,
1737801005000,33915.35,32592.05,,
1737801010000,28677.2,34114.466666659995,,
1737801015000,29898.016666659998,29390.66666666,,
1737801020000,30364.75,27908.7,,
1737801025000,31926.0,32749.266666659998,,
1737801030000,33379.56666666,32594.883333330003,,
1737801035000,33179.95,33208.28333333,,
1737801040000,32538.75,31102.21666666,,
1737801045000,30391.8,30275.883333330003,,
1737801050000,30563.566666659997,31164.016666659998,,
1737801055000,32553.566666659997,33057.1,,
1737801060000,32870.0,33181.6,,
1737801065000,33386.26666666,32754.53333333,,
1737801070000,34682.33333333,31458.73333333,,
1737801075000,29339.316666659997,32302.46666666,,
1737801080000,27065.3,31746.133333330003,,
