,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737532205000,1000.0
1737532210000,1000.0
1737532215000,0.0
1737532220000,0.0
1737532225000,0.0
1737532230000,0.0
1737532235000,0.0
1737532240000,0.0
1737532245000,99.0
1737532250000,212.0
1737532255000,300.0
1737532260000,370.0
1737532265000,427.0
1737532270000,475.0
1737532275000,617.0
1737532280000,702.0
1737532285000,784.0
1737532290000,864.0
1737532295000,944.0
1737532300000,996.0
1737532305000,1000.0
1737532310000,1000.0
1737532315000,1000.0
1737532320000,1000.0
1737532325000,1000.0
1737532330000,1000.0
1737532335000,1000.0
1737532340000,1000.0
1737532345000,1000.0
1737532350000,1000.0
1737532355000,1000.0
1737532360000,1000.0
1737532365000,1000.0
1737532370000,1000.0
1737532375000,1000.0
1737532380000,1000.0
1737532385000,1000.0
1737532390000,1000.0
1737532395000,1000.0
1737532400000,1000.0
1737532405000,1000.0
1737532410000,1000.0
1737532415000,1000.0
1737532420000,1000.0
1737532425000,1000.0
1737532430000,1000.0
1737532435000,1000.0
1737532440000,1000.0
1737532445000,
