,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737203320000,0.0
1737203325000,0.0
1737203330000,1175.5833333333
1737203335000,2385.1333333333
1737203340000,7130.51666666
1737203345000,10650.9
1737203350000,13187.7
1737203355000,16568.33333333
1737203360000,20292.36666666
1737203365000,25972.316666659997
1737203370000,30813.833333330003
1737203375000,32318.0
1737203380000,36043.86666666
1737203385000,37533.233333330005
1737203390000,36862.75
1737203395000,40198.9
1737203400000,36047.83333333
1737203405000,32527.45
1737203410000,30911.66666666
1737203415000,31981.73333333
1737203420000,28257.7
1737203425000,22577.75
1737203430000,19199.016666659998
1737203435000,21271.6
1737203440000,22699.03333333
1737203445000,26725.95
1737203450000,31849.85
1737203455000,29226.53333333
1737203460000,33002.31666666
1737203465000,38598.233333330005
1737203470000,40248.61666666
1737203475000,39410.95
1737203480000,41281.81666666
1737203485000,44961.13333333
1737203490000,43498.35
1737203495000,40946.55
1737203500000,35793.25
1737203505000,30276.96666666
1737203510000,24911.083333330003
1737203515000,26236.85
1737203520000,25222.61666666
1737203525000,25325.96666666
1737203530000,27645.05
1737203535000,28808.433333330002
1737203540000,29837.16666666
1737203545000,31160.583333330003
1737203550000,35585.1
1737203555000,38123.33333333
1737203560000,
