Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr,BackpressureTime,BackpressureTimeStdErr
0,0.0,0.0,,,,
1,13306.867399264027,444.57382067671057,890.6483516483516,27.88155885863419,881.5494505494505,30.76774138364019
2,19275.51886791799,1163.0046121746745,868.1836734693877,5.883795822903849,895.4803921568628,37.44833929909257
3,20890.817283943266,1159.792642628468,755.6792452830189,7.406225657840163,889.3584905660377,39.85724431982362
4,29561.486486478916,1516.7130119170138,760.0091324200913,9.138754732467916,768.4324324324324,31.307784157048765
5,35875.037439602274,1074.34272181962,779.9623188405798,5.666645576686828,812.2971014492754,20.503713319973123
6,38954.03059359643,1236.180363322442,725.9041095890411,4.578427625118078,830.6736111111111,7.491875484528378
7,45521.85975175622,1480.4891234422537,733.865311550152,7.135446761236269,770.3172043010753,12.681663596238936
8,47455.320599236955,1817.3488406831339,721.1185794542537,9.901026127982481,747.3011363636364,22.04119648980672
9,50886.64333332491,1959.408479233773,694.1793650793651,7.478501409716589,728.5571428571428,12.745989937043676
10,53189.97453702983,1807.9553147650481,652.0666666666667,4.740380936143539,710.0208333333334,8.872361139919017
11,60411.95304659368,1251.204156937191,697.5708699902249,3.1125818949719353,673.1236559139785,9.468560581784464
12,57124.70049504867,1808.6673957749701,688.0420792079208,4.6968418213052665,669.79,5.257224457829436
13,65507.75906862553,2495.225982035263,674.0294117647059,6.45406554776824,667.4117647058823,5.883979014004734
14,64984.52309237145,1953.8092785529018,618.1006884681584,5.7173540996877,599.2650602409639,11.670263301772142
