,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736197410000,-9.223372036854775e+18
1736197415000,-9.223372036854775e+18
1736197420000,-9.223372036854775e+18
1736197425000,-9.223372036854775e+18
1736197430000,-9.223372036854775e+18
1736197435000,-9.223372036854775e+18
1736197440000,-9.223372036854775e+18
1736197445000,-9.223372036854775e+18
1736197450000,-9.223372036854775e+18
1736197455000,-9.223372036854775e+18
1736197460000,-9.223372036854775e+18
1736197465000,-9.223372036854775e+18
1736197470000,-9.223372036854775e+18
1736197475000,-9.223372036854775e+18
1736197480000,-9.223372036854775e+18
1736197485000,-9.223372036854775e+18
1736197490000,-9.223372036854775e+18
1736197495000,-9.223372036854775e+18
1736197500000,-9.223372036854775e+18
1736197505000,-9.223372036854775e+18
1736197510000,-9.223372036854775e+18
1736197515000,-9.223372036854775e+18
1736197520000,-9.223372036854775e+18
1736197525000,-9.223372036854775e+18
1736197530000,-9.223372036854775e+18
1736197535000,-9.223372036854775e+18
1736197540000,-9.223372036854775e+18
1736197545000,-9.223372036854775e+18
1736197550000,-9.223372036854775e+18
1736197555000,-9.223372036854775e+18
1736197560000,-9.223372036854775e+18
1736197565000,-9.223372036854775e+18
1736197570000,-9.223372036854775e+18
1736197575000,-9.223372036854775e+18
1736197580000,-9.223372036854775e+18
1736197585000,-9.223372036854775e+18
1736197590000,-9.223372036854775e+18
1736197595000,-9.223372036854775e+18
1736197600000,-9.223372036854775e+18
1736197605000,-9.223372036854775e+18
1736197610000,-9.223372036854775e+18
1736197615000,-9.223372036854775e+18
1736197620000,-9.223372036854775e+18
1736197625000,-9.223372036854775e+18
1736197630000,-9.223372036854775e+18
1736197635000,-9.223372036854775e+18
1736197640000,-9.223372036854775e+18
1736197645000,-9.223372036854775e+18
1736197650000,-9.223372036854775e+18
1736197655000,-9.223372036854775e+18
1736197660000,-9.223372036854775e+18
1736197665000,-9.223372036854775e+18
1736197670000,-9.223372036854775e+18
1736197675000,-9.223372036854775e+18
1736197680000,-9.223372036854775e+18
1736197685000,-9.223372036854775e+18
1736197690000,-9.223372036854775e+18
1736197695000,-9.223372036854775e+18
1736197700000,-9.223372036854775e+18
1736197705000,-9.223372036854775e+18
1736197710000,-9.223372036854775e+18
1736197715000,-9.223372036854775e+18
1736197720000,
1736197745000,-9.223372036854775e+18
1736197750000,-9.223372036854775e+18
1736197755000,-9.223372036854775e+18
1736197760000,-9.223372036854775e+18
1736197765000,-9.223372036854775e+18
1736197770000,-9.223372036854775e+18
1736197775000,-9.223372036854775e+18
1736197780000,-9.223372036854775e+18
1736197785000,-9.223372036854775e+18
1736197790000,-9.223372036854775e+18
1736197795000,-9.223372036854775e+18
1736197800000,-9.223372036854775e+18
1736197805000,-9.223372036854775e+18
1736197810000,-9.223372036854775e+18
1736197815000,-9.223372036854775e+18
1736197820000,-9.223372036854775e+18
1736197825000,-9.223372036854775e+18
1736197830000,-9.223372036854775e+18
1736197835000,-9.223372036854775e+18
1736197840000,-9.223372036854775e+18
1736197845000,-9.223372036854775e+18
1736197850000,-9.223372036854775e+18
1736197855000,-9.223372036854775e+18
1736197860000,-9.223372036854775e+18
1736197865000,-9.223372036854775e+18
1736197870000,-9.223372036854775e+18
1736197875000,-9.223372036854775e+18
1736197880000,-9.223372036854775e+18
1736197885000,-9.223372036854775e+18
1736197890000,-9.223372036854775e+18
1736197895000,-9.223372036854775e+18
1736197900000,-9.223372036854775e+18
1736197905000,-9.223372036854775e+18
1736197910000,-9.223372036854775e+18
1736197915000,-9.223372036854775e+18
1736197920000,-9.223372036854775e+18
1736197925000,-9.223372036854775e+18
1736197930000,-9.223372036854775e+18
1736197935000,-9.223372036854775e+18
1736197940000,-9.223372036854775e+18
1736197945000,-9.223372036854775e+18
1736197950000,-9.223372036854775e+18
1736197955000,-9.223372036854775e+18
1736197960000,-9.223372036854775e+18
1736197965000,-9.223372036854775e+18
1736197970000,-9.223372036854775e+18
1736197975000,-9.223372036854775e+18
1736197980000,-9.223372036854775e+18
1736197985000,-9.223372036854775e+18
1736197990000,-9.223372036854775e+18
1736197995000,-9.223372036854775e+18
1736198000000,-9.223372036854775e+18
1736198005000,-9.223372036854775e+18
1736198010000,-9.223372036854775e+18
1736198015000,-9.223372036854775e+18
1736198020000,-9.223372036854775e+18
1736198025000,-9.223372036854775e+18
1736198030000,-9.223372036854775e+18
1736198035000,-9.223372036854775e+18
1736198040000,-9.223372036854775e+18
1736198045000,-9.223372036854775e+18
1736198050000,-9.223372036854775e+18
1736198055000,-9.223372036854775e+18
1736198060000,
1736198085000,-9.223372036854775e+18
1736198090000,-9.223372036854775e+18
1736198095000,-9.223372036854775e+18
1736198100000,-9.223372036854775e+18
1736198105000,-9.223372036854775e+18
1736198110000,-9.223372036854775e+18
1736198115000,-9.223372036854775e+18
1736198120000,-9.223372036854775e+18
1736198125000,-9.223372036854775e+18
1736198130000,-9.223372036854775e+18
1736198135000,-9.223372036854775e+18
1736198140000,-9.223372036854775e+18
1736198145000,-9.223372036854775e+18
1736198150000,-9.223372036854775e+18
1736198155000,-9.223372036854775e+18
1736198160000,-9.223372036854775e+18
1736198165000,-9.223372036854775e+18
1736198170000,-9.223372036854775e+18
1736198175000,-9.223372036854775e+18
1736198180000,-9.223372036854775e+18
1736198185000,-9.223372036854775e+18
1736198190000,-9.223372036854775e+18
1736198195000,-9.223372036854775e+18
1736198200000,-9.223372036854775e+18
1736198205000,-9.223372036854775e+18
1736198210000,-9.223372036854775e+18
1736198215000,-9.223372036854775e+18
1736198220000,-9.223372036854775e+18
1736198225000,-9.223372036854775e+18
1736198230000,-9.223372036854775e+18
1736198235000,-9.223372036854775e+18
1736198240000,-9.223372036854775e+18
1736198245000,-9.223372036854775e+18
1736198250000,-9.223372036854775e+18
1736198255000,-9.223372036854775e+18
1736198260000,-9.223372036854775e+18
1736198265000,-9.223372036854775e+18
1736198270000,-9.223372036854775e+18
1736198275000,-9.223372036854775e+18
1736198280000,-9.223372036854775e+18
1736198285000,-9.223372036854775e+18
1736198290000,-9.223372036854775e+18
1736198295000,-9.223372036854775e+18
1736198300000,-9.223372036854775e+18
1736198305000,-9.223372036854775e+18
1736198310000,-9.223372036854775e+18
1736198315000,-9.223372036854775e+18
1736198320000,-9.223372036854775e+18
1736198325000,-9.223372036854775e+18
1736198330000,-9.223372036854775e+18
1736198335000,-9.223372036854775e+18
1736198340000,-9.223372036854775e+18
1736198345000,-9.223372036854775e+18
1736198350000,-9.223372036854775e+18
1736198355000,-9.223372036854775e+18
1736198360000,-9.223372036854775e+18
1736198365000,-9.223372036854775e+18
1736198370000,-9.223372036854775e+18
1736198375000,-9.223372036854775e+18
1736198380000,-9.223372036854775e+18
1736198385000,-9.223372036854775e+18
1736198390000,-9.223372036854775e+18
1736198395000,
