,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736779315000,1000.0,,
1736779320000,971.0,,
1736779325000,879.0,,
1736779330000,835.0,,
1736779335000,849.0,,
1736779340000,849.0,,
1736779345000,849.0,,
1736779350000,849.0,,
1736779355000,849.0,,
1736779360000,849.0,,
1736779365000,849.0,,
1736779370000,849.0,,
1736779375000,849.0,,
1736779380000,871.0,,
1736779385000,951.0,,
1736779390000,1000.0,,
1736779395000,1000.0,,
1736779400000,1000.0,,
1736779405000,1000.0,,
1736779410000,1000.0,,
1736779415000,1000.0,,
1736779420000,1000.0,,
1736779425000,1000.0,,
1736779430000,1000.0,,
1736779435000,1000.0,,
1736779440000,1000.0,,
1736779445000,1000.0,,
1736779450000,1000.0,,
1736779455000,1000.0,,
1736779460000,1000.0,,
1736779465000,1000.0,,
1736779470000,1000.0,,
1736779475000,1000.0,,
1736779480000,1000.0,,
1736779485000,1000.0,,
1736779490000,1000.0,,
1736779495000,1000.0,,
1736779500000,1000.0,,
1736779505000,1000.0,,
1736779510000,1000.0,,
1736779515000,,,
1736779575000,1000.0,,
1736779580000,920.0,,
1736779585000,860.0,,
1736779590000,872.0,1000.0,
1736779595000,809.0,999.0,
1736779600000,756.0,999.0,
1736779605000,721.0,999.0,
1736779610000,677.0,993.0,
1736779615000,656.0,978.0,
1736779620000,656.0,978.0,
1736779625000,635.0,978.0,
1736779630000,550.0,978.0,
1736779635000,539.0,978.0,
1736779640000,587.0,960.0,
1736779645000,633.0,939.0,
1736779650000,636.0,915.0,
1736779655000,699.0,884.0,
1736779660000,764.0,860.0,
1736779665000,818.0,832.0,
1736779670000,863.0,838.0,
1736779675000,884.0,844.0,
1736779680000,884.0,844.0,
1736779685000,905.0,844.0,
1736779690000,990.0,813.0,
1736779695000,1000.0,759.0,
1736779700000,1000.0,737.0,
1736779705000,1000.0,720.0,
1736779710000,1000.0,728.0,
1736779715000,1000.0,739.0,
1736779720000,1000.0,756.0,
1736779725000,1000.0,743.0,
1736779730000,1000.0,697.0,
1736779735000,1000.0,693.0,
1736779740000,1000.0,653.0,
1736779745000,1000.0,649.0,
1736779750000,1000.0,679.0,
1736779755000,1000.0,733.0,
1736779760000,1000.0,769.0,
1736779765000,1000.0,790.0,
1736779770000,1000.0,793.0,
1736779775000,1000.0,815.0,
1736779780000,1000.0,785.0,
1736779785000,1000.0,791.0,
1736779790000,1000.0,820.0,
1736779795000,1000.0,832.0,
1736779800000,1000.0,,
1736779805000,,,
1736779860000,,1000.0,
1736779865000,,1000.0,
1736779870000,,885.0,1000.0
1736779875000,,787.0,900.0
1736779880000,1000.0,705.0,800.0
1736779885000,1000.0,639.0,720.0
1736779890000,937.0,585.0,654.0
1736779895000,857.0,503.0,600.0
1736779900000,817.0,428.0,522.0
1736779905000,817.0,357.0,447.0
1736779910000,817.0,279.0,374.0
1736779915000,817.0,200.0,295.0
1736779920000,817.0,128.0,222.0
1736779925000,817.0,57.0,152.0
1736779930000,817.0,66.0,80.0
1736779935000,817.0,90.0,79.0
1736779940000,817.0,113.0,99.0
1736779945000,817.0,191.0,161.0
1736779950000,876.0,190.0,171.0
1736779955000,960.0,205.0,178.0
1736779960000,1000.0,267.0,214.0
1736779965000,1000.0,301.0,289.0
1736779970000,1000.0,304.0,283.0
1736779975000,1000.0,309.0,285.0
1736779980000,992.0,331.0,307.0
1736779985000,992.0,344.0,329.0
1736779990000,992.0,367.0,352.0
1736779995000,992.0,381.0,363.0
1736780000000,992.0,422.0,391.0
1736780005000,992.0,389.0,389.0
1736780010000,991.0,454.0,423.0
1736780015000,991.0,503.0,480.0
1736780020000,991.0,517.0,521.0
1736780025000,991.0,515.0,487.0
1736780030000,991.0,544.0,548.0
1736780035000,991.0,570.0,562.0
1736780040000,999.0,573.0,567.0
1736780045000,999.0,577.0,561.0
1736780050000,999.0,572.0,555.0
1736780055000,999.0,566.0,577.0
1736780060000,999.0,562.0,561.0
1736780065000,999.0,573.0,580.0
1736780070000,1000.0,559.0,574.0
1736780075000,1000.0,538.0,558.0
1736780080000,,,516.0
1736780085000,,,
