,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1737806410000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7370.0,96725.0,517.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806415000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19875000.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806420000,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,862.0,2970000.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806425000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,142.0,33.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806430000,10.0,17.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,91.0,66.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806435000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,14103000.0,296470000.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806440000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,6.0,91.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806445000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2367000.0,96.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806450000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,2304000.0,14093.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806455000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2439000.0,105.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806460000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,105.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806465000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,3.0,152.0,3746.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806470000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2574000.0,91.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806475000,9.0,19.0,2.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,91.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806480000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,0.0,143.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806485000,9.0,20.0,1.0,0.0,0.0,10.0,1.0,0.0,10.0,9.0,2565000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806490000,9.0,20.0,1.0,0.0,0.0,10.0,1.0,0.0,10.0,9.0,2304000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806495000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,8.0,242.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806500000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2835000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806505000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,95.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806510000,10.0,20.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,10.0,2660000.0,113.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806515000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,4.0,288.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806520000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,6606000.0,118.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1737806525000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,7731000.0,87.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
