,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737512775000,0.0
1737512780000,0.0
1737512785000,0.0
1737512790000,33.7333333333
1737512795000,500.9
1737512800000,500.9
1737512805000,4151.38333333
1737512810000,9635.25
1737512815000,16364.25
1737512820000,16364.25
1737512825000,23372.03333333
1737512830000,23372.03333333
1737512835000,23372.03333333
1737512840000,33169.93333333
1737512845000,39307.25
1737512850000,39273.51666666
1737512855000,38806.35
1737512860000,46192.93333333
1737512865000,42542.45
1737512870000,41287.8
1737512875000,36618.58333333
1737512880000,37116.5
1737512885000,35051.95
1737512890000,35051.95
1737512895000,36177.66666666
1737512900000,26666.6
1737512905000,30256.933333330002
1737512910000,36401.06666666
1737512915000,37184.76666666
1737512920000,35548.95
1737512925000,35548.95
1737512930000,37214.38333333
1737512935000,35154.6
1737512940000,38146.76666666
1737512945000,35879.75
1737512950000,36182.63333333
1737512955000,36485.2
1737512960000,41668.76666666
1737512965000,39355.8
1737512970000,39167.1
1737512975000,38383.4
1737512980000,37044.31666666
1737512985000,38428.36666666
1737512990000,33599.56666666
1737512995000,38559.8
1737513000000,35069.716666659995
1737513005000,38067.83333333
1737513010000,37764.95
1737513015000,
