,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4
Timestamp,,,,,
1702910075000,0.0,,,,
1702910080000,0.0,,,,
1702910085000,0.0,,,,
1702910090000,259.4333333333,,,,
1702910095000,955.3333333333,,,,
1702910100000,1950.9,,,,
1702910105000,3845.28333333,,,,
1702910110000,5629.95,,,,
1702910115000,7466.183333329999,,,,
1702910120000,9190.68333333,,,,
1702910125000,11037.48333333,,,,
1702910130000,12944.8,,,,
1702910135000,14815.633333329999,,,,
1702910140000,16640.483333329998,,,,
1702910145000,18549.88333333,,,,
1702910150000,19964.816666659997,,,,
1702910155000,21117.983333329998,,,,
1702910160000,22010.9,,,,
1702910165000,22008.85,,,,
1702910170000,22118.28333333,,,,
1702910175000,22181.983333329998,,,,
1702910180000,22412.65,,,,
1702910185000,22516.18333333,,,,
1702910190000,22572.8,,,,
1702910195000,22471.316666659997,,,,
1702910200000,22612.25,,,,
1702910205000,22675.58333333,,,,
1702910210000,22981.36666666,,,,
1702910215000,23043.13333333,,,,
1702910220000,23120.316666659997,,,,
1702910225000,23211.766666659998,,,,
1702910230000,23295.9,,,,
1702910235000,23360.36666666,,,,
1702910240000,23350.066666659997,,,,
1702910245000,23313.433333330002,,,,
1702910250000,23306.933333330002,,,,
1702910255000,23480.883333330003,,,,
1702910260000,23493.46666666,,,,
1702910265000,23502.35,,,,
1702910270000,23455.883333330003,,,,
1702910275000,23516.816666659997,,,,
1702910280000,23515.53333333,,,,
1702910285000,23507.583333330003,,,,
1702910290000,23443.9,,,,
1702910295000,23419.66666666,,,,
1702910300000,23454.583333330003,,,,
1702910305000,23421.66666666,,,,
1702910310000,23329.65,,,,
1702910315000,23366.41666666,,,,
1702910320000,23357.016666659998,,,,
1702910325000,23254.066666659997,,,,
1702910330000,23177.61666666,,,,
1702910335000,23154.73333333,,,,
1702910340000,23152.5,,,,
1702910345000,23155.566666659997,,,,
1702910350000,23166.61666666,,,,
1702910355000,23081.71666666,,,,
1702910360000,23065.55,,,,
1702910365000,23136.0,,,,
1702910370000,23257.46666666,,,,
1702910375000,23206.083333330003,,,,
1702910380000,23190.016666659998,,,,
1702910385000,23244.05,,,,
1702910390000,23337.316666659997,,,,
1702910395000,23357.583333330003,,,,
1702910400000,23383.8,,,,
1702910405000,23390.766666659998,,,,
1702910410000,23419.333333330003,,,,
1702910415000,23540.25,,,,
1702910420000,23543.61666666,,,,
1702910425000,23559.71666666,,,,
1702910430000,23515.25,,,,
1702910435000,23517.36666666,,,,
1702910440000,23530.5,,,,
1702910445000,23581.96666666,,,,
1702910450000,,,,,
1702910500000,0.0,0.0,,,
1702910505000,0.0,0.0,,,
1702910510000,508.8333333333,632.35,,,
1702910515000,1982.4166666666,2096.55,,,
1702910520000,3687.55,3823.23333333,,,
1702910525000,5421.23333333,5584.55,,,
1702910530000,7088.51666666,7232.05,,,
1702910535000,8714.05,8840.01666666,,,
1702910540000,10212.66666666,10304.133333329999,,,
1702910545000,11870.883333329999,12030.35,,,
1702910550000,13459.45,13592.83333333,,,
1702910555000,15095.5,15195.06666666,,,
1702910560000,16891.066666659997,17029.43333333,,,
1702910565000,18668.61666666,18809.566666659997,,,
1702910570000,19947.16666666,19977.65,,,
1702910575000,19984.9,19977.1,,,
1702910580000,20100.13333333,20102.61666666,,,
1702910585000,20202.8,20171.483333329998,,,
1702910590000,20386.816666659997,20359.45,,,
1702910595000,20565.03333333,20551.15,,,
1702910600000,20757.91666666,20797.0,,,
1702910605000,20944.55,20925.3,,,
1702910610000,21171.2,21182.2,,,
1702910615000,21256.05,21266.85,,,
1702910620000,21320.16666666,21319.35,,,
1702910625000,21378.93333333,21386.63333333,,,
1702910630000,21469.33333333,21469.05,,,
1702910635000,21775.63333333,21766.016666659998,,,
1702910640000,21735.08333333,21748.66666666,,,
1702910645000,21617.33333333,21649.68333333,,,
1702910650000,21598.65,21645.95,,,
1702910655000,21615.65,21600.78333333,,,
1702910660000,21816.266666659998,21822.266666659998,,,
1702910665000,21763.45,21766.266666659998,,,
1702910670000,21807.15,21807.38333333,,,
1702910675000,21935.96666666,21927.46666666,,,
1702910680000,21950.93333333,21951.0,,,
1702910685000,21887.88333333,21893.5,,,
1702910690000,21793.11666666,21778.38333333,,,
1702910695000,21828.13333333,21829.63333333,,,
1702910700000,21915.36666666,21903.61666666,,,
1702910705000,22055.28333333,22031.4,,,
1702910710000,22116.983333329998,22106.46666666,,,
1702910715000,22162.41666666,22161.83333333,,,
1702910720000,22136.4,22127.11666666,,,
1702910725000,22069.05,22075.35,,,
1702910730000,22047.33333333,22066.016666659998,,,
1702910735000,22070.066666659997,22068.483333329998,,,
1702910740000,22023.18333333,22030.25,,,
1702910745000,22107.96666666,22119.983333329998,,,
1702910750000,22160.96666666,22166.28333333,,,
1702910755000,22171.1,22174.85,,,
1702910760000,22056.33333333,22059.733333329998,,,
1702910765000,21984.316666659997,22009.55,,,
1702910770000,21967.6,21978.3,,,
1702910775000,21938.7,21943.11666666,,,
1702910780000,21938.55,21946.55,,,
1702910785000,22084.18333333,22073.83333333,,,
1702910790000,22093.16666666,22055.25,,,
1702910795000,22076.983333329998,22072.63333333,,,
1702910800000,22114.96666666,22091.71666666,,,
1702910805000,22096.91666666,22074.96666666,,,
1702910810000,22017.03333333,22017.516666659998,,,
1702910815000,22003.11666666,21999.15,,,
1702910820000,22131.233333329998,22122.733333329998,,,
1702910825000,22184.41666666,22157.13333333,,,
1702910830000,22144.983333329998,22126.18333333,,,
1702910835000,22161.43333333,22172.816666659997,,,
1702910840000,22151.983333329998,22127.85,,,
1702910845000,22135.58333333,22151.11666666,,,
1702910850000,22159.96666666,22176.5,,,
1702910855000,22174.33333333,22174.18333333,,,
1702910860000,22181.016666659998,22192.3,,,
1702910865000,22168.13333333,22187.46666666,,,
1702910870000,22278.53333333,22291.733333329998,,,
1702910875000,22304.7,22302.21666666,,,
1702910880000,22307.33333333,22309.1,,,
1702910885000,22286.733333329998,22313.61666666,,,
1702910890000,22298.83333333,22276.03333333,,,
1702910895000,22306.03333333,22290.8,,,
1702910900000,,,,,
1702910945000,0.0,0.0,0.0,,
1702910950000,4.866666666666,8.583333333333,34.95,,
1702910955000,810.25,874.5166666666,905.3166666666,,
1702910960000,2271.3,2355.5166666666,2377.9166666666,,
1702910965000,3800.98333333,3872.41666667,3908.75,,
1702910970000,5184.55,5261.93333333,5276.53333333,,
1702910975000,6613.4,6697.31666666,6717.16666666,,
1702910980000,8222.58333333,8321.633333329999,8335.83333333,,
1702910985000,9695.71666666,9755.71666666,9792.16666666,,
1702910990000,11321.68333333,11376.4,11405.3,,
1702910995000,12976.43333333,13041.266666659998,13074.18333333,,
1702911000000,14555.8,14601.23333333,14616.73333333,,
1702911005000,16167.45,16260.966666659999,16288.4,,
1702911010000,17930.71666666,17961.5,17993.61666666,,
1702911015000,18922.11666666,18913.33333333,18936.66666666,,
1702911020000,19162.566666659997,19177.4,19168.71666666,,
1702911025000,19348.41666666,19360.066666659997,19349.88333333,,
1702911030000,19750.53333333,19729.566666659997,19760.5,,
1702911035000,20103.85,20101.9,20118.53333333,,
1702911040000,20228.93333333,20178.43333333,20212.5,,
1702911045000,20299.78333333,20295.18333333,20297.61666666,,
1702911050000,20333.3,20322.63333333,20348.266666659998,,
1702911055000,20465.88333333,20476.7,20487.55,,
1702911060000,20680.566666659997,20704.9,20716.483333329998,,
1702911065000,20864.03333333,20837.53333333,20817.91666666,,
1702911070000,20843.566666659997,20861.4,20860.566666659997,,
1702911075000,20862.05,20862.3,20864.03333333,,
1702911080000,20968.65,20929.21666666,20949.9,,
1702911085000,20989.38333333,21007.8,20992.71666666,,
1702911090000,21001.03333333,20965.733333329998,20989.483333329998,,
1702911095000,21023.58333333,20971.6,20961.33333333,,
1702911100000,21111.16666666,21136.6,21129.6,,
1702911105000,21379.0,21402.733333329998,21396.91666666,,
1702911110000,21533.983333329998,21534.75,21530.18333333,,
1702911115000,21510.83333333,21529.483333329998,21508.41666666,,
1702911120000,21473.18333333,21484.71666666,21484.93333333,,
1702911125000,21470.8,21480.08333333,21492.16666666,,
