,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1737208830000,1000.0
1737208835000,358.0
1737208840000,385.0
1737208845000,385.0
1737208850000,531.0
1737208855000,625.0
1737208860000,687.0
1737208865000,732.0
1737208870000,766.0
1737208875000,792.0
1737208880000,813.0
1737208885000,830.0
1737208890000,844.0
1737208895000,897.0
1737208900000,946.0
1737208905000,998.0
1737208910000,1000.0
1737208915000,1000.0
1737208920000,1000.0
1737208925000,1000.0
1737208930000,1000.0
1737208935000,1000.0
1737208940000,1000.0
1737208945000,1000.0
1737208950000,1000.0
1737208955000,1000.0
1737208960000,1000.0
1737208965000,1000.0
1737208970000,1000.0
1737208975000,1000.0
1737208980000,1000.0
1737208985000,1000.0
1737208990000,1000.0
1737208995000,1000.0
1737209000000,1000.0
1737209005000,1000.0
1737209010000,1000.0
1737209015000,1000.0
1737209020000,1000.0
1737209025000,1000.0
1737209030000,1000.0
1737209035000,1000.0
1737209040000,1000.0
1737209045000,1000.0
1737209050000,1000.0
1737209055000,1000.0
1737209060000,1000.0
1737209065000,1000.0
1737209070000,1000.0
1737209075000,
