,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1
Timestamp,,
1707943175000,1000.0,
1707943180000,0.0,
1707943185000,0.0,
1707943190000,0.0,
1707943195000,0.0,
1707943200000,57.0,
1707943205000,167.0,
1707943210000,262.0,
1707943215000,337.0,
1707943220000,392.0,
1707943225000,438.0,
1707943230000,480.0,
1707943235000,500.0,
1707943240000,584.0,
1707943245000,659.0,
1707943250000,732.0,
1707943255000,813.0,
1707943260000,857.0,
1707943265000,870.0,
1707943270000,876.0,
1707943275000,880.0,
1707943280000,886.0,
1707943285000,892.0,
1707943290000,893.0,
1707943295000,910.0,
1707943300000,909.0,
1707943305000,910.0,
1707943310000,909.0,
1707943315000,906.0,
1707943320000,906.0,
1707943325000,910.0,
1707943330000,910.0,
1707943335000,908.0,
1707943340000,910.0,
1707943345000,908.0,
1707943350000,907.0,
1707943355000,905.0,
1707943360000,907.0,
1707943365000,909.0,
1707943370000,908.0,
1707943375000,910.0,
1707943380000,911.0,
1707943385000,912.0,
1707943390000,900.0,
1707943395000,902.0,
1707943400000,899.0,
1707943405000,901.0,
1707943410000,904.0,
1707943415000,904.0,
1707943420000,902.0,
1707943425000,901.0,
1707943430000,903.0,
1707943435000,903.0,
1707943440000,902.0,
1707943445000,899.0,
1707943450000,913.0,
1707943455000,913.0,
1707943460000,917.0,
1707943465000,915.0,
1707943470000,912.0,
1707943475000,910.0,
1707943480000,893.0,
1707943485000,891.0,
1707943490000,895.0,
1707943495000,894.0,
1707943500000,894.0,
1707943505000,896.0,
1707943510000,892.0,
1707943515000,892.0,
1707943520000,890.0,
1707943525000,891.0,
1707943530000,891.0,
1707943535000,895.0,
1707943540000,914.0,
1707943545000,912.0,
1707943550000,913.0,
1707943555000,910.0,
1707943560000,910.0,
1707943565000,909.0,
1707943570000,912.0,
1707943575000,915.0,
1707943580000,914.0,
1707943585000,915.0,
1707943590000,913.0,
1707943595000,914.0,
1707943600000,912.0,
1707943605000,915.0,
1707943610000,,
1707943665000,1000.0,1000.0
1707943670000,567.0,188.0
1707943675000,704.0,249.0
1707943680000,753.0,315.0
1707943685000,769.0,359.0
1707943690000,785.0,370.0
1707943695000,795.0,378.0
1707943700000,795.0,384.0
1707943705000,799.0,388.0
1707943710000,808.0,415.0
1707943715000,809.0,425.0
1707943720000,818.0,438.0
1707943725000,812.0,439.0
1707943730000,833.0,459.0
1707943735000,835.0,478.0
1707943740000,837.0,491.0
1707943745000,844.0,499.0
1707943750000,848.0,512.0
1707943755000,853.0,525.0
1707943760000,861.0,537.0
1707943765000,865.0,546.0
1707943770000,868.0,542.0
1707943775000,877.0,545.0
1707943780000,881.0,544.0
1707943785000,900.0,552.0
1707943790000,910.0,562.0
1707943795000,916.0,563.0
1707943800000,921.0,560.0
1707943805000,922.0,558.0
1707943810000,927.0,557.0
1707943815000,929.0,554.0
1707943820000,934.0,552.0
1707943825000,940.0,554.0
1707943830000,944.0,553.0
1707943835000,946.0,552.0
1707943840000,947.0,554.0
1707943845000,942.0,555.0
1707943850000,946.0,554.0
1707943855000,945.0,552.0
1707943860000,943.0,552.0
1707943865000,946.0,551.0
1707943870000,944.0,552.0
1707943875000,946.0,552.0
1707943880000,949.0,551.0
1707943885000,947.0,552.0
1707943890000,947.0,552.0
1707943895000,944.0,551.0
1707943900000,944.0,549.0
1707943905000,947.0,549.0
1707943910000,946.0,550.0
1707943915000,948.0,548.0
1707943920000,952.0,548.0
1707943925000,952.0,550.0
1707943930000,954.0,550.0
1707943935000,953.0,551.0
1707943940000,945.0,550.0
1707943945000,946.0,548.0
1707943950000,942.0,552.0
1707943955000,941.0,552.0
1707943960000,942.0,550.0
1707943965000,941.0,549.0
1707943970000,939.0,548.0
1707943975000,940.0,549.0
1707943980000,939.0,549.0
1707943985000,940.0,549.0
1707943990000,940.0,549.0
