,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1
Timestamp,,
1707943170000,0.0,
1707943175000,0.0,
1707943180000,328.8666666666,
1707943185000,450.4,
1707943190000,586.95,
1707943195000,586.95,
1707943200000,3637.4,
1707943205000,9601.48333333,
1707943210000,16283.36666666,
1707943215000,22884.9,
1707943220000,30398.68333333,
1707943225000,38757.31666666,
1707943230000,46759.23333333,
1707943235000,53344.3,
1707943240000,61921.23333333,
1707943245000,70662.73333332999,
1707943250000,79175.4,
1707943255000,87794.95,
1707943260000,93516.76666666,
1707943265000,96092.28333333,
1707943270000,97597.71666666,
1707943275000,99461.56666665999,
1707943280000,100536.25,
1707943285000,101107.48333332999,
1707943290000,101875.25,
1707943295000,103986.91666665999,
1707943300000,104051.45,
1707943305000,103868.03333333,
1707943310000,103772.08333333,
1707943315000,103655.16666665999,
1707943320000,103456.48333332999,
1707943325000,103596.6,
1707943330000,104221.2,
1707943335000,104452.0,
1707943340000,104817.41666665999,
1707943345000,104497.1,
1707943350000,104498.55,
1707943355000,104423.73333332999,
1707943360000,104435.55,
1707943365000,104651.73333332999,
1707943370000,104695.13333333,
1707943375000,105046.9,
1707943380000,105441.08333333,
1707943385000,105667.81666665999,
1707943390000,104192.61666665999,
1707943395000,103493.81666665999,
1707943400000,103421.03333333,
1707943405000,103866.31666665999,
1707943410000,103600.65,
1707943415000,103806.65,
1707943420000,103696.61666665999,
1707943425000,103780.9,
1707943430000,104048.91666665999,
1707943435000,104044.18333333,
1707943440000,104002.05,
1707943445000,103749.16666665999,
1707943450000,105179.56666665999,
1707943455000,106098.48333332999,
1707943460000,106217.31666665999,
1707943465000,106031.0,
1707943470000,106389.23333332999,
1707943475000,105881.03333333,
1707943480000,103523.83333333,
1707943485000,103279.3,
1707943490000,102963.73333332999,
1707943495000,102815.45,
1707943500000,102822.55,
1707943505000,103081.43333333,
1707943510000,103030.3,
1707943515000,103000.96666666,
1707943520000,102704.85,
1707943525000,102708.08333333,
1707943530000,102839.01666666,
1707943535000,103200.03333333,
1707943540000,105602.81666665999,
1707943545000,105525.53333333,
1707943550000,106044.23333332999,
1707943555000,105966.41666665999,
1707943560000,105922.55,
1707943565000,105786.6,
1707943570000,105995.31666665999,
1707943575000,106054.1,
1707943580000,106219.51666666,
1707943585000,106287.55,
1707943590000,106169.35,
1707943595000,106351.56666665999,
1707943600000,106370.01666666,
1707943605000,106624.0,
1707943610000,,
1707943660000,0.0,0.0
1707943665000,0.0,0.0
1707943670000,402.5333333333,371.1833333333
1707943675000,3984.46666667,3763.33333333
1707943680000,9666.283333329999,9314.533333329999
1707943685000,14886.7,14659.65
1707943690000,19822.65,19559.46666666
1707943695000,24169.96666666,24169.96666666
1707943700000,29395.03333333,29125.75
1707943705000,34440.15,34061.93333333
1707943710000,41113.483333330005,40788.83333333
1707943715000,47619.05,47266.85
1707943720000,54655.733333330005,54289.733333330005
1707943725000,60038.6,60038.6
1707943730000,65561.78333333001,65412.06666666
1707943735000,69003.0,68894.78333333001
1707943740000,70181.41666666,70229.31666666
1707943745000,72081.05,71971.48333333
1707943750000,74454.2,74373.96666666001
1707943755000,77207.03333333001,76875.66666666
1707943760000,78797.56666666,78919.13333333
1707943765000,80593.1,80720.6
1707943770000,81187.58333333,81131.21666666001
1707943775000,81586.11666666,81584.71666666001
1707943780000,81528.25,81591.98333333
1707943785000,82902.68333333,82582.4
1707943790000,83917.96666666001,83794.26666666
1707943795000,83869.08333333,83904.46666666001
1707943800000,84058.35,83968.96666666001
1707943805000,83928.78333333001,83901.13333333
1707943810000,83612.61666666,83651.65
1707943815000,83259.48333333,83269.56666666
1707943820000,83309.3,83123.71666666001
1707943825000,83382.78333333001,83285.1
1707943830000,83046.76666666,83027.55
1707943835000,83095.43333333,83116.63333333
1707943840000,83222.63333333,83212.73333333
1707943845000,83056.1,83095.73333333
1707943850000,83088.63333333,83087.7
1707943855000,82977.55,82922.25
1707943860000,82917.25,83042.35
1707943865000,82908.8,82947.91666666
1707943870000,82968.2,82948.03333333001
1707943875000,83035.8,83052.38333333
1707943880000,83018.68333333,82988.23333333
1707943885000,83207.05,83158.15
1707943890000,83259.65,83339.95
1707943895000,83169.83333333,83109.81666666
1707943900000,82969.93333333,82990.31666666
1707943905000,83315.75,83224.56666666
1707943910000,83381.4,83372.46666666001
1707943915000,83123.95,83187.78333333001
1707943920000,83125.85,82973.26666666
1707943925000,83228.45,83191.5
1707943930000,83298.3,83323.45
1707943935000,83226.7,83163.78333333001
1707943940000,82823.58333333,82879.25
1707943945000,82770.8,82766.81666666
1707943950000,82969.68333333,82950.96666666001
1707943955000,83054.41666666,83011.41666666
1707943960000,82610.86666666,82696.68333333
1707943965000,82309.18333333,82379.48333333
1707943970000,82110.43333333,82110.66666666
1707943975000,82274.55,82218.46666666001
1707943980000,82167.9,82238.53333333001
1707943985000,82128.63333333,82185.41666666
1707943990000,82119.05,82076.4
