,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736793090000,0.0,
1736793095000,0.0,
1736793100000,1725.9666666666,
1736793105000,2451.15,
1736793110000,7098.633333329999,
1736793115000,12956.18333333,
1736793120000,12956.18333333,
1736793125000,19072.566666659997,
1736793130000,19072.566666659997,
1736793135000,19072.566666659997,
1736793140000,23954.78333333,
1736793145000,25736.433333330002,
1736793150000,25736.433333330002,
1736793155000,27906.86666666,
1736793160000,30733.133333330003,
1736793165000,30007.95,
1736793170000,25360.46666666,
1736793175000,24530.05,
1736793180000,26526.21666666,
1736793185000,20409.83333333,
1736793190000,21313.566666659997,
1736793195000,24564.6,
1736793200000,24397.333333330003,
1736793205000,23675.133333330003,
1736793210000,24060.8,
1736793215000,27338.183333330002,
1736793220000,22785.95,
1736793225000,22839.8,
1736793230000,28954.183333330002,
1736793235000,23927.05,
1736793240000,22845.21666666,
1736793245000,27266.86666666,
1736793250000,26363.133333330003,
1736793255000,25083.15,
1736793260000,21868.41666666,
1736793265000,24135.0,
1736793270000,29092.53333333,
1736793275000,23644.71666666,
1736793280000,24582.133333330003,
1736793285000,29645.4,
1736793290000,23531.016666659998,
1736793295000,27550.333333330003,
1736793300000,28892.816666659997,
1736793305000,24471.16666666,
1736793310000,30095.816666659997,
1736793315000,28124.766666659998,
1736793320000,27883.3,
1736793325000,26824.833333330003,
1736793330000,25596.266666659998,
1736793335000,27054.816666659997,
1736793340000,26117.4,
1736793345000,,
1736793370000,0.0,0.0
1736793375000,2656.6,2646.3333333333
1736793380000,2661.8,2646.3333333333
1736793385000,3812.9,4101.35
1736793390000,6090.58333333,6066.183333329999
1736793395000,6090.58333333,6066.183333329999
1736793400000,8105.31666666,8344.4
1736793405000,10939.86666666,11232.45
1736793410000,11343.46666666,11277.033333329999
1736793415000,12179.25,12142.383333329999
1736793420000,13994.68333333,13943.91666666
1736793425000,13994.68333333,13943.91666666
1736793430000,16983.85,16907.88333333
1736793435000,14327.25,14261.55
1736793440000,16572.816666659997,16696.25
1736793445000,16395.983333329998,16016.68333333
1736793450000,14378.016666659998,14051.85
1736793455000,16656.1,16568.18333333
1736793460000,14641.366666659998,14289.966666659999
1736793465000,14207.6,14178.3
1736793470000,16280.133333329999,16225.95
1736793475000,17729.41666666,17979.65
1736793480000,16310.266666659998,16240.85
1736793485000,16602.83333333,16824.88333333
1736793490000,16547.266666659998,16504.7
1736793495000,16547.266666659998,16504.7
1736793500000,17446.95,17185.63333333
1736793505000,16472.68333333,16410.18333333
1736793510000,18569.1,18920.5
1736793515000,16460.3,16404.16666666
1736793520000,16822.18333333,17013.516666659998
1736793525000,17199.566666659997,16751.9
1736793530000,14723.43333333,14659.66666666
1736793535000,13149.466666659999,12826.366666659998
1736793540000,16719.88333333,16918.15
1736793545000,17729.233333329998,17362.0
1736793550000,14795.633333329999,14718.216666659999
1736793555000,17792.63333333,17701.733333329998
1736793560000,14642.18333333,14586.1
1736793565000,17167.8,17451.45
1736793570000,15202.5,14951.366666659998
1736793575000,15572.716666659999,15848.33333333
1736793580000,17235.46666666,16913.4
1736793585000,14457.3,14398.633333329999
1736793590000,17460.05,17386.58333333
1736793595000,16748.95,16600.83333333
1736793600000,13861.9,13516.91666666
1736793605000,16408.266666659998,16322.216666659999
1736793610000,17279.2,17439.28333333
1736793615000,,
