,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1
Timestamp,,
1736793095000,1000.0,
1736793100000,864.0,
1736793105000,827.0,
1736793110000,885.0,
1736793115000,914.0,
1736793120000,931.0,
1736793125000,943.0,
1736793130000,951.0,
1736793135000,957.0,
1736793140000,962.0,
1736793145000,966.0,
1736793150000,969.0,
1736793155000,972.0,
1736793160000,983.0,
1736793165000,1000.0,
1736793170000,1000.0,
1736793175000,1000.0,
1736793180000,1000.0,
1736793185000,1000.0,
1736793190000,1000.0,
1736793195000,1000.0,
1736793200000,1000.0,
1736793205000,1000.0,
1736793210000,1000.0,
1736793215000,1000.0,
1736793220000,1000.0,
1736793225000,1000.0,
1736793230000,1000.0,
1736793235000,1000.0,
1736793240000,1000.0,
1736793245000,1000.0,
1736793250000,1000.0,
1736793255000,1000.0,
1736793260000,1000.0,
1736793265000,1000.0,
1736793270000,1000.0,
1736793275000,1000.0,
1736793280000,1000.0,
1736793285000,1000.0,
1736793290000,1000.0,
1736793295000,1000.0,
1736793300000,1000.0,
1736793305000,1000.0,
1736793310000,1000.0,
1736793315000,1000.0,
1736793320000,1000.0,
1736793325000,1000.0,
1736793330000,1000.0,
1736793335000,1000.0,
1736793340000,1000.0,
1736793345000,,
1736793370000,1000.0,1000.0
1736793375000,743.0,799.0
1736793380000,872.0,900.0
1736793385000,915.0,890.0
1736793390000,936.0,883.0
1736793395000,949.0,907.0
1736793400000,958.0,909.0
1736793405000,963.0,915.0
1736793410000,968.0,925.0
1736793415000,971.0,914.0
1736793420000,974.0,914.0
1736793425000,977.0,922.0
1736793430000,979.0,907.0
1736793435000,1000.0,924.0
1736793440000,1000.0,896.0
1736793445000,1000.0,906.0
1736793450000,1000.0,917.0
1736793455000,991.0,915.0
1736793460000,991.0,921.0
1736793465000,991.0,920.0
1736793470000,991.0,914.0
1736793475000,991.0,910.0
1736793480000,991.0,917.0
1736793485000,991.0,892.0
1736793490000,991.0,899.0
1736793495000,991.0,899.0
1736793500000,991.0,898.0
1736793505000,991.0,900.0
1736793510000,991.0,892.0
1736793515000,1000.0,894.0
1736793520000,1000.0,886.0
1736793525000,1000.0,879.0
1736793530000,1000.0,885.0
1736793535000,1000.0,902.0
1736793540000,1000.0,884.0
1736793545000,1000.0,905.0
1736793550000,1000.0,919.0
1736793555000,1000.0,910.0
1736793560000,1000.0,938.0
1736793565000,1000.0,931.0
1736793570000,1000.0,939.0
1736793575000,1000.0,916.0
1736793580000,1000.0,922.0
1736793585000,1000.0,935.0
1736793590000,1000.0,930.0
1736793595000,1000.0,931.0
1736793600000,1000.0,940.0
1736793605000,1000.0,936.0
1736793610000,1000.0,925.0
1736793615000,,
