,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1701871100000,1000.0,,,,,
1701871105000,241.0,,,,,
1701871110000,139.0,,,,,
1701871115000,239.0,,,,,
1701871120000,292.0,,,,,
1701871125000,342.0,,,,,
1701871130000,440.0,,,,,
1701871135000,516.0,,,,,
1701871140000,576.0,,,,,
1701871145000,623.0,,,,,
1701871150000,661.0,,,,,
1701871155000,692.0,,,,,
1701871160000,718.0,,,,,
1701871165000,781.0,,,,,
1701871170000,861.0,,,,,
1701871175000,908.0,,,,,
1701871180000,954.0,,,,,
1701871185000,992.0,,,,,
1701871190000,998.0,,,,,
1701871195000,1000.0,,,,,
1701871200000,1000.0,,,,,
1701871205000,1000.0,,,,,
1701871210000,1000.0,,,,,
1701871215000,1000.0,,,,,
1701871220000,1000.0,,,,,
1701871225000,1000.0,,,,,
1701871230000,1000.0,,,,,
1701871235000,1000.0,,,,,
1701871240000,1000.0,,,,,
1701871245000,1000.0,,,,,
1701871250000,1000.0,,,,,
1701871255000,1000.0,,,,,
1701871260000,1000.0,,,,,
1701871265000,1000.0,,,,,
1701871270000,1000.0,,,,,
1701871275000,1000.0,,,,,
1701871280000,1000.0,,,,,
1701871285000,1000.0,,,,,
1701871290000,1000.0,,,,,
1701871295000,1000.0,,,,,
1701871300000,1000.0,,,,,
1701871305000,1000.0,,,,,
1701871310000,1000.0,,,,,
1701871315000,1000.0,,,,,
1701871320000,1000.0,,,,,
1701871325000,1000.0,,,,,
1701871330000,1000.0,,,,,
1701871335000,1000.0,,,,,
1701871340000,1000.0,,,,,
1701871345000,1000.0,,,,,
1701871350000,1000.0,,,,,
1701871355000,1000.0,,,,,
1701871360000,1000.0,,,,,
1701871365000,1000.0,,,,,
1701871370000,1000.0,,,,,
1701871375000,1000.0,,,,,
1701871380000,1000.0,,,,,
1701871385000,1000.0,,,,,
1701871390000,1000.0,,,,,
1701871395000,1000.0,,,,,
1701871400000,1000.0,,,,,
1701871405000,1000.0,,,,,
1701871410000,1000.0,,,,,
1701871415000,1000.0,,,,,
1701871420000,1000.0,,,,,
1701871425000,1000.0,,,,,
1701871430000,1000.0,,,,,
1701871435000,1000.0,,,,,
1701871440000,1000.0,,,,,
1701871445000,1000.0,,,,,
1701871450000,1000.0,,,,,
1701871455000,1000.0,,,,,
1701871460000,1000.0,,,,,
1701871465000,1000.0,,,,,
1701871470000,1000.0,,,,,
1701871475000,1000.0,,,,,
1701871480000,1000.0,,,,,
1701871485000,1000.0,,,,,
1701871490000,1000.0,,,,,
1701871495000,1000.0,,,,,
1701871500000,1000.0,,,,,
1701871505000,1000.0,,,,,
1701871510000,1000.0,,,,,
1701871515000,1000.0,,,,,
1701871520000,1000.0,,,,,
1701871525000,1000.0,,,,,
1701871530000,1000.0,,,,,
1701871535000,982.0,,,,,
1701871540000,,,,,,
1701871585000,,1000.0,,,,
1701871590000,1000.0,855.0,,,,
1701871595000,880.0,535.0,,,,
1701871600000,920.0,415.0,,,,
1701871605000,940.0,535.0,,,,
1701871610000,952.0,526.0,,,,
1701871615000,960.0,533.0,,,,
1701871620000,966.0,559.0,,,,
1701871625000,970.0,587.0,,,,
1701871630000,974.0,587.0,,,,
1701871635000,976.0,586.0,,,,
1701871640000,979.0,609.0,,,,
1701871645000,980.0,623.0,,,,
1701871650000,980.0,614.0,,,,
1701871655000,1000.0,669.0,,,,
1701871660000,1000.0,727.0,,,,
1701871665000,1000.0,699.0,,,,
1701871670000,1000.0,716.0,,,,
1701871675000,1000.0,749.0,,,,
1701871680000,1000.0,745.0,,,,
1701871685000,1000.0,741.0,,,,
1701871690000,1000.0,763.0,,,,
1701871695000,1000.0,774.0,,,,
1701871700000,1000.0,775.0,,,,
1701871705000,1000.0,776.0,,,,
1701871710000,1000.0,769.0,,,,
1701871715000,1000.0,765.0,,,,
1701871720000,1000.0,758.0,,,,
1701871725000,1000.0,783.0,,,,
1701871730000,1000.0,778.0,,,,
1701871735000,1000.0,765.0,,,,
1701871740000,1000.0,783.0,,,,
1701871745000,1000.0,782.0,,,,
1701871750000,1000.0,775.0,,,,
1701871755000,1000.0,778.0,,,,
1701871760000,1000.0,774.0,,,,
1701871765000,1000.0,769.0,,,,
1701871770000,1000.0,778.0,,,,
1701871775000,1000.0,768.0,,,,
1701871780000,1000.0,769.0,,,,
1701871785000,1000.0,768.0,,,,
