,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1736812385000,996.0,755.0,783.0,,,,,
1736812390000,996.0,744.0,769.0,,,,,
1736812395000,996.0,743.0,757.0,,,,,
1736812400000,996.0,738.0,750.0,,,,,
1736812405000,996.0,738.0,741.0,,,,,
1736812410000,996.0,739.0,738.0,,,,,
1736812415000,999.0,739.0,739.0,,,,,
1736812420000,1000.0,741.0,732.0,,,,,
1736812425000,1000.0,744.0,724.0,,,,,
1736812430000,1000.0,747.0,730.0,,,,,
1736812435000,1000.0,733.0,725.0,,,,,
1736812440000,1000.0,742.0,712.0,,,,,
1736812445000,1000.0,767.0,715.0,,,,,
1736812450000,1000.0,768.0,752.0,,,,,
1736812455000,1000.0,763.0,753.0,,,,,
1736812460000,1000.0,765.0,752.0,,,,,
1736812465000,1000.0,764.0,754.0,,,,,
1736812470000,1000.0,779.0,759.0,,,,,
1736812475000,1000.0,,772.0,,,,,
1736812480000,,,,,,,,
1736812500000,,,1000.0,,,,,
1736812505000,1000.0,804.0,72.0,1000.0,,,,
1736812510000,652.0,858.0,346.0,88.0,,,,
1736812515000,747.0,855.0,435.0,349.0,,,,
1736812520000,821.0,819.0,491.0,442.0,,,,
1736812525000,866.0,767.0,498.0,481.0,,,,
1736812530000,893.0,755.0,522.0,498.0,,,,
1736812535000,909.0,757.0,548.0,534.0,,,,
1736812540000,922.0,748.0,575.0,556.0,,,,
