,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1736811665000,0.0,,,,,,,
1736811670000,0.0,,,,,,,
1736811675000,1932.8833333333,,,,,,,
1736811680000,3974.7,,,,,,,
1736811685000,8628.75,,,,,,,
1736811690000,11059.91666666,,,,,,,
1736811695000,11546.18333333,,,,,,,
1736811700000,17986.85,,,,,,,
1736811705000,17986.85,,,,,,,
1736811710000,17986.85,,,,,,,
1736811715000,22042.91666666,,,,,,,
1736811720000,25208.05,,,,,,,
1736811725000,25208.05,,,,,,,
1736811730000,25677.31666666,,,,,,,
1736811735000,29775.53333333,,,,,,,
1736811740000,27733.71666666,,,,,,,
1736811745000,23079.66666666,,,,,,,
1736811750000,23555.5,,,,,,,
1736811755000,26585.95,,,,,,,
1736811760000,20145.28333333,,,,,,,
1736811765000,21263.55,,,,,,,
1736811770000,25656.53333333,,,,,,,
1736811775000,25454.5,,,,,,,
1736811780000,22335.91666666,,,,,,,
1736811785000,28065.266666659998,,,,,,,
1736811790000,27650.71666666,,,,,,,
1736811795000,22855.33333333,,,,,,,
1736811800000,26976.65,,,,,,,
1736811805000,26976.65,,,,,,,
1736811810000,26852.066666659997,,,,,,,
1736811815000,26219.9,,,,,,,
1736811820000,26219.9,,,,,,,
1736811825000,30821.333333330003,,,,,,,
1736811830000,26428.35,,,,,,,
1736811835000,23464.73333333,,,,,,,
1736811840000,27491.566666659997,,,,,,,
1736811845000,27376.46666666,,,,,,,
