Parallelism,region,"('Throughput_OUT', 'mean')","('Throughput_OUT', 'std')","('Throughput_IN', 'mean')","('Throughput_IN', 'std')",Predictions
1,1,4.212096774192468,18.010594476082606,50793.5720430079,5474.014836198813,
2,1,0.0,0.0,85028.02567567243,26324.739187344665,108948.0
3,1,23903.80024509485,8085.806296630118,93326.55367646721,8158.333463073745,149968.0
4,1,77861.59054725984,17809.728114586862,76881.2477611909,10654.38289246866,130156.0
5,1,105888.68432835476,10818.559490949476,68772.24601989731,12005.53566281223,96809.0
6,1,90873.17676055981,23677.32159752189,108698.69507041886,19363.025746996438,
7,1,0.0,0.0,73700.73005050166,13065.640977444178,
