Parallelism,Mean,StdErr,Predictions
0,0.0,0.0,
1,14180.995833330566,506.96121511787703,
2,25511.12574073447,754.9522230546152,30802.0
3,34325.824999991055,1391.8716356240323,44302.0
4,46616.5827715228,1510.9441483050973,54094.0
5,52228.65306511876,1757.1057909664805,69443.0
6,56828.79574072332,1917.0320878456841,59509.0
7,63675.28256703032,2199.427321078321,73736.0
8,62747.2089147075,1967.699324538967,87835.0
