,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722007825000,0.0,,,,,,,
1722007830000,0.0,,,,,,,
1722007835000,0.0,,,,,,,
1722007840000,0.0,,,,,,,
1722007845000,0.0,,,,,,,
1722007850000,0.0,,,,,,,
1722007855000,0.0,,,,,,,
1722007860000,0.0,,,,,,,
1722007865000,0.0,,,,,,,
1722007870000,0.0,,,,,,,
1722007875000,233.6333333333,,,,,,,
1722007880000,855.7,,,,,,,
1722007885000,869.3333333333,,,,,,,
1722007890000,2328.65,,,,,,,
1722007895000,4011.91666667,,,,,,,
1722007900000,5671.01666667,,,,,,,
1722007905000,7385.36666666,,,,,,,
1722007910000,9095.2,,,,,,,
1722007915000,10703.91666666,,,,,,,
1722007920000,12407.8,,,,,,,
1722007925000,14178.58333333,,,,,,,
1722007930000,15918.73333333,,,,,,,
1722007935000,17440.58333333,,,,,,,
1722007940000,18619.08333333,,,,,,,
1722007945000,20266.78333333,,,,,,,
1722007950000,20553.6,,,,,,,
1722007955000,20611.55,,,,,,,
1722007960000,20630.96666666,,,,,,,
1722007965000,20732.5,,,,,,,
1722007970000,20770.93333333,,,,,,,
1722007975000,20832.75,,,,,,,
1722007980000,20897.33333333,,,,,,,
1722007985000,20820.65,,,,,,,
1722007990000,20808.38333333,,,,,,,
1722007995000,20817.68333333,,,,,,,
1722008000000,20637.65,,,,,,,
1722008005000,20780.816666659997,,,,,,,
1722008010000,20819.566666659997,,,,,,,
1722008015000,20853.71666666,,,,,,,
1722008020000,20978.9,,,,,,,
1722008025000,20964.25,,,,,,,
1722008030000,20981.45,,,,,,,
1722008035000,,,,,,,,
1722008070000,0.0,0.0,,,,,,
1722008075000,14.266666666666,50.5166666667,,,,,,
1722008080000,879.8,1023.75,,,,,,
1722008085000,2163.7666666666,2276.0833333333,,,,,,
1722008090000,3612.35,3758.23333333,,,,,,
1722008095000,5071.05,5220.01666667,,,,,,
1722008100000,6677.11666666,6744.683333329999,,,,,,
1722008105000,8060.233333329999,8159.76666666,,,,,,
1722008110000,9583.0,9727.93333333,,,,,,
1722008115000,11001.96666666,11146.133333329999,,,,,,
1722008120000,12497.883333329999,12637.08333333,,,,,,
1722008125000,14005.633333329999,14123.783333329999,,,,,,
1722008130000,15334.41666666,15465.75,,,,,,
1722008135000,16795.1,16906.03333333,,,,,,
1722008140000,17544.88333333,17560.13333333,,,,,,
1722008145000,17656.516666659998,17655.0,,,,,,
1722008150000,17805.68333333,17805.08333333,,,,,,
1722008155000,17702.63333333,17707.88333333,,,,,,
1722008160000,17680.2,17749.0,,,,,,
1722008165000,17970.6,17975.41666666,,,,,,
1722008170000,18054.16666666,17975.86666666,,,,,,
1722008175000,18206.13333333,18154.16666666,,,,,,
1722008180000,18430.03333333,18432.05,,,,,,
1722008185000,18496.96666666,18465.733333329998,,,,,,
1722008190000,18807.25,18764.4,,,,,,
1722008195000,19041.11666666,19033.55,,,,,,
1722008200000,19139.75,19126.78333333,,,,,,
1722008205000,19435.316666659997,19423.86666666,,,,,,
1722008210000,19482.03333333,19487.2,,,,,,
1722008215000,19746.6,19728.85,,,,,,
1722008220000,19875.15,19858.71666666,,,,,,
1722008225000,19957.28333333,19923.45,,,,,,
1722008230000,20088.316666659997,20116.8,,,,,,
1722008235000,20284.6,20272.96666666,,,,,,
1722008240000,20315.35,20300.86666666,,,,,,
1722008245000,,,,,,,,
1722008280000,0.0,,0.0,,,,,
1722008285000,0.0,0.0,0.0,,,,,
1722008290000,69.2666666666,117.0,240.3833333333,,,,,
1722008295000,934.7,1046.75,1270.7666666666,,,,,
1722008300000,2249.1333333333,2376.8166666666,2657.9166666666,,,,,
1722008305000,3651.23333333,3804.88333333,4066.81666667,,,,,
1722008310000,5087.15,5240.98333333,5393.03333333,,,,,
1722008315000,6327.866666670001,6446.95,6703.9,,,,,
1722008320000,7533.28333333,7663.983333329999,7816.75,,,,,
1722008325000,8737.58333333,8885.08333333,9123.033333329999,,,,,
1722008330000,9948.01666666,10106.26666666,10336.05,,,,,
1722008335000,11241.55,11382.133333329999,11664.33333333,,,,,
1722008340000,12696.33333333,12795.35,12998.5,,,,,
1722008345000,14125.8,14286.1,14522.8,,,,,
1722008350000,15452.65,15580.48333333,15716.883333329999,,,,,
1722008355000,16132.05,16132.383333329999,16141.73333333,,,,,
1722008360000,16093.4,16101.383333329999,16138.08333333,,,,,
1722008365000,16215.5,16221.766666659998,16252.16666666,,,,,
1722008370000,16340.48333333,16341.35,16451.233333329998,,,,,
1722008375000,16548.83333333,16527.08333333,16589.66666666,,,,,
1722008380000,16666.7,16666.766666659998,16826.816666659997,,,,,
1722008385000,17036.61666666,17044.733333329998,17032.05,,,,,
1722008390000,17185.233333329998,17199.93333333,17246.75,,,,,
1722008395000,17286.78333333,17280.96666666,17194.46666666,,,,,
1722008400000,17356.83333333,17383.78333333,17455.266666659998,,,,,
1722008405000,17412.18333333,17409.86666666,17444.78333333,,,,,
1722008410000,17528.566666659997,17526.38333333,17526.78333333,,,,,
1722008415000,17558.483333329998,17567.95,17626.65,,,,,
1722008420000,17806.45,17815.63333333,17800.766666659998,,,,,
1722008425000,17777.11666666,17774.95,17771.4,,,,,
1722008430000,17751.7,17765.7,17773.91666666,,,,,
1722008435000,17837.75,17841.16666666,17862.21666666,,,,,
1722008440000,18076.85,18086.58333333,18060.68333333,,,,,
1722008445000,18097.8,18079.61666666,18141.25,,,,,
1722008450000,18319.55,18302.483333329998,18284.63333333,,,,,
1722008455000,18448.7,18459.266666659998,18453.0,,,,,
1722008460000,18350.65,18367.36666666,18382.03333333,,,,,
1722008465000,18383.3,18330.96666666,,,,,,
1722008470000,,,,,,,,
1722008500000,0.0,0.0,0.0,0.0,,,,
1722008505000,0.0,0.0,0.0,4.016666666666,,,,
1722008510000,7.866666666666,37.3666666667,87.0333333333,645.8,,,,
1722008515000,707.6166666666,738.05,867.0833333333,1847.35,,,,
1722008520000,1927.7,2032.0,2127.0166666666,3142.7333333333,,,,
1722008525000,3202.0666666665998,3307.9833333333,3448.75,4375.55,,,,
1722008530000,4426.18333333,4526.85,4648.91666667,5638.8,,,,
1722008535000,5737.2,5825.066666670001,6011.233333329999,6736.55,,,,
1722008540000,6731.5,6820.11666666,6934.36666666,7706.4,,,,
1722008545000,7843.55,7890.26666666,8071.03333333,8936.283333329999,,,,
1722008550000,9006.35,9091.65,9228.73333333,10162.56666666,,,,
1722008555000,10256.23333333,10330.43333333,10499.73333333,11467.133333329999,,,,
1722008560000,11539.08333333,11636.25,11765.383333329999,12800.5,,,,
1722008565000,12943.75,12914.73333333,13115.08333333,14113.6,,,,
1722008570000,14168.56666666,14205.5,14310.48333333,14806.783333329999,,,,
1722008575000,14818.966666659999,14886.633333329999,14870.133333329999,15037.73333333,,,,
1722008580000,15041.883333329999,15043.65,15093.58333333,15047.16666666,,,,
1722008585000,15047.43333333,15038.283333329999,15072.133333329999,15233.81666666,,,,
1722008590000,15262.45,15232.55,15261.48333333,15237.45,,,,
1722008595000,15258.7,15187.7,15180.9,15475.48333333,,,,
1722008600000,15487.533333329999,15469.31666666,15510.266666659998,15671.033333329999,,,,
1722008605000,15582.56666666,15603.366666659998,15564.216666659999,15731.33333333,,,,
1722008610000,15713.15,15709.616666659998,15720.266666659998,15865.783333329999,,,,
1722008615000,15873.6,15905.266666659998,15866.48333333,16058.98333333,,,,
1722008620000,16052.266666659998,16022.48333333,16072.81666666,16089.783333329999,,,,
1722008625000,16052.116666659998,16167.283333329999,16129.783333329999,16248.116666659998,,,,
1722008630000,16262.41666666,16269.45,16271.2,16324.8,,,,
