,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722239145000,8573.75,8638.21666666,8638.11666666,,,,,
1722239150000,10484.75,10558.5,10536.43333333,,,,,
1722239155000,12335.91666666,12420.58333333,12392.73333333,,,,,
1722239160000,14205.68333333,14285.23333333,14251.366666659998,,,,,
1722239165000,16072.05,16139.5,16128.31666666,,,,,
1722239170000,17905.266666659998,17974.5,17968.05,,,,,
1722239175000,19771.33333333,19839.35,19829.1,,,,,
1722239180000,21636.733333329998,21715.46666666,21679.483333329998,,,,,
1722239185000,23456.8,23516.23333333,23486.98333333,,,,,
1722239190000,,,,,,,,
1722239220000,0.0,0.0,0.0,0.0,,,,
1722239225000,0.0,0.0,0.0,0.0,,,,
1722239230000,2614.3166666666,2570.4333333332997,2584.9166666666,2623.9,,,,
1722239235000,4273.15,4278.36666667,4321.76666667,4325.51666667,,,,
1722239240000,5945.21666667,5959.45,6005.15,6001.2,,,,
1722239245000,7674.6,7701.33333333,7725.883333329999,7725.53333333,,,,
1722239250000,9463.06666666,9501.31666666,9530.783333329999,9534.66666666,,,,
1722239255000,11216.75,11265.883333329999,11281.35,11276.56666666,,,,
1722239260000,12970.48333333,13050.25,13043.16666666,13057.18333333,,,,
1722239265000,14760.4,14805.883333329999,14813.283333329999,14813.283333329999,,,,
1722239270000,16551.6,16603.16666666,16618.71666666,16622.15,,,,
1722239275000,18330.86666666,18394.766666659998,18412.566666659997,18412.316666659997,,,,
1722239280000,20129.61666666,20167.4,20188.61666666,20189.96666666,,,,
1722239285000,21919.0,21967.45,21969.63333333,21969.6,,,,
1722239290000,21071.43333333,21155.36666666,21158.15,21101.566666659997,,,,
1722239295000,21211.066666659997,21242.78333333,21211.88333333,21201.28333333,,,,
1722239300000,21350.16666666,21367.3,21324.18333333,21285.21666666,,,,
1722239305000,21395.41666666,21378.21666666,21376.35,21353.483333329998,,,,
1722239310000,21412.45,21381.7,21386.86666666,21364.15,,,,
1722239315000,21414.91666666,21419.9,21403.61666666,21425.88333333,,,,
1722239320000,21423.65,21395.78333333,21422.86666666,21406.96666666,,,,
1722239325000,21434.33333333,21433.61666666,21432.65,21432.6,,,,
1722239330000,21435.78333333,21405.71666666,21418.766666659998,21411.71666666,,,,
1722239335000,21405.6,21388.516666659998,21378.7,21380.55,,,,
1722239340000,21367.766666659998,21373.78333333,21381.3,21383.6,,,,
1722239345000,21391.5,21382.233333329998,21396.35,21396.38333333,,,,
1722239350000,21407.88333333,21402.46666666,21413.75,21429.18333333,,,,
1722239355000,21411.066666659997,21401.85,21426.316666659997,21433.15,,,,
1722239360000,21396.15,21420.2,21438.33333333,21484.05,,,,
1722239365000,21350.066666659997,21410.55,21387.86666666,21411.08333333,,,,
1722239370000,21322.5,21365.86666666,21340.08333333,21357.35,,,,
1722239375000,21345.28333333,21347.25,21357.483333329998,21338.2,,,,
1722239380000,21363.88333333,21349.88333333,21360.16666666,21362.05,,,,
1722239385000,21328.4,21333.75,21328.2,21328.15,,,,
1722239390000,21346.55,21344.266666659998,21332.266666659998,21340.15,,,,
1722239395000,21403.516666659998,21356.7,21369.91666666,21380.566666659997,,,,
1722239400000,,,,,,,,
1722239425000,,,,,0.0,,,
1722239430000,0.0,0.0,0.0,0.0,0.0,,,
1722239435000,741.6333333333,733.6166666666,705.4,724.65,561.4333333333,,,
1722239440000,2378.4833333333,2344.2666666666,2345.5166666666,2363.8833333333,2148.3833333333,,,
1722239445000,4045.33333333,4020.18333333,4048.58333333,4067.7,3832.28333333,,,
1722239450000,5763.56666667,5697.6,5743.13333333,5746.5,5526.83333333,,,
1722239455000,7487.96666666,7444.133333329999,7475.78333333,7474.4,7218.733333329999,,,
1722239460000,9245.65,9192.85,9245.71666666,9238.633333329999,8972.85,,,
1722239465000,10968.5,10916.73333333,10967.31666666,10965.15,10720.65,,,
1722239470000,12728.616666659998,12682.7,12741.81666666,12735.7,12476.3,,,
1722239475000,14532.98333333,14493.25,14552.283333329999,14546.58333333,14283.0,,,
1722239480000,16347.783333329999,16315.68333333,16382.55,16382.23333333,16097.43333333,,,
1722239485000,18068.61666666,18016.58333333,18067.0,18068.68333333,17871.88333333,,,
1722239490000,19892.36666666,19842.55,19900.71666666,19887.21666666,19635.45,,,
1722239495000,20954.5,20905.58333333,21010.25,20992.566666659997,20880.3,,,
1722239500000,21100.7,21083.16666666,21138.483333329998,21122.08333333,21080.88333333,,,
1722239505000,21241.78333333,21217.63333333,21240.95,21228.33333333,21210.68333333,,,
1722239510000,21354.2,21356.566666659997,21383.55,21372.4,21333.4,,,
1722239515000,21376.7,21379.0,21427.85,21428.65,21413.61666666,,,
1722239520000,21441.4,21471.8,21485.91666666,21496.08333333,21497.16666666,,,
1722239525000,21560.9,21582.21666666,21584.733333329998,21587.83333333,21572.46666666,,,
1722239530000,21599.41666666,21603.233333329998,21617.03333333,21624.9,21611.86666666,,,
1722239535000,21621.93333333,21607.83333333,21620.66666666,21625.066666659997,21610.233333329998,,,
1722239540000,21611.41666666,21627.63333333,21613.38333333,21613.75,21622.75,,,
1722239545000,21661.83333333,21767.016666659998,21720.7,21714.566666659997,21645.266666659998,,,
1722239550000,21673.45,21716.2,21658.95,21669.88333333,21711.61666666,,,
1722239555000,21716.3,21782.13333333,21632.983333329998,21704.1,21703.58333333,,,
1722239560000,21690.016666659998,21761.233333329998,21611.88333333,21715.9,21716.58333333,,,
1722239565000,21666.233333329998,21717.9,21612.33333333,21664.5,21668.85,,,
1722239570000,21661.55,21726.1,21591.16666666,21661.38333333,21662.5,,,
1722239575000,21723.93333333,21787.53333333,21608.13333333,21704.15,21690.65,,,
1722239580000,21709.43333333,21741.316666659997,21603.96666666,21680.45,21670.88333333,,,
1722239585000,21697.8,21732.78333333,21620.03333333,21678.21666666,21677.33333333,,,
1722239590000,21655.8,21720.266666659998,21562.95,21643.016666659998,21641.516666659998,,,
1722239595000,21669.35,21698.83333333,21569.58333333,21623.316666659997,21651.86666666,,,
1722239600000,21665.66666666,21658.93333333,21616.233333329998,21658.1,21651.8,,,
1722239605000,21681.21666666,21576.316666659997,21623.83333333,21630.41666666,21646.71666666,,,
1722239610000,21660.066666659997,21658.75,21719.0,21721.55,,,,
1722239615000,,,,,,,,
1722239640000,0.0,0.0,0.0,0.0,0.0,0.0,,
1722239645000,0.0,941.2333333333,0.0,943.75,0.0,0.0,,
1722239650000,2336.2166666666,2658.5333333332997,2402.9833333333,2667.6166666666,2362.4833333333,2404.2166666666,,
1722239655000,4042.96666667,4362.7,4095.66666667,4362.03333333,4056.31666667,4087.66666667,,
1722239660000,5835.116666670001,6094.7,5833.183333329999,6100.46666667,5770.35,5788.58333333,,
1722239665000,7513.36666666,7752.233333329999,7514.933333329999,7752.08333333,7444.36666666,7503.96666666,,
1722239670000,9249.283333329999,9502.033333329999,9249.01666666,9502.133333329999,9177.05,9214.6,,
1722239675000,11010.533333329999,11272.2,11010.33333333,11272.1,10957.3,10965.91666666,,
1722239680000,12766.8,13034.91666666,12768.0,13034.9,12723.43333333,12734.466666659999,,
1722239685000,14553.533333329999,14820.18333333,14552.41666666,14821.3,14495.48333333,14556.116666659998,,
1722239690000,16344.35,16591.61666666,16344.366666659998,16594.66666666,16260.2,16322.15,,
1722239695000,18062.78333333,18321.233333329998,18062.65,18322.65,18002.18333333,18052.566666659997,,
1722239700000,19861.566666659997,20107.983333329998,19862.21666666,20108.816666659997,19778.53333333,19827.83333333,,
1722239705000,21653.25,20966.95,21651.58333333,20964.58333333,21555.3,21616.1,,
1722239710000,21074.86666666,21022.18333333,21008.13333333,21012.63333333,20972.66666666,20982.983333329998,,
1722239715000,21090.7,20972.61666666,21037.983333329998,20974.46666666,21076.71666666,21045.33333333,,
1722239720000,20686.4,20633.66666666,20688.316666659997,20628.88333333,20750.53333333,20732.316666659997,,
1722239725000,20396.983333329998,20361.733333329998,20395.4,20362.2,20465.233333329998,20405.66666666,,
1722239730000,20048.96666666,20000.88333333,20049.233333329998,20000.45,20121.11666666,20083.53333333,,
1722239735000,19677.4,19621.75,19677.61666666,19620.733333329998,19730.05,19721.5,,
1722239740000,19311.4,19247.15,19310.21666666,19248.28333333,19354.066666659997,19343.21666666,,
1722239745000,18910.66666666,18850.95,18911.78333333,18849.983333329998,18968.316666659997,18907.8,,
1722239750000,18508.066666659997,18465.983333329998,18508.0,18464.5,18591.93333333,18529.96666666,,
1722239755000,18181.96666666,18127.066666659997,18182.066666659997,18124.71666666,18242.16666666,18191.66666666,,
1722239760000,17773.733333329998,17727.46666666,17773.11666666,17726.266666659998,17855.3,17805.983333329998,,
1722239765000,17364.766666659998,17310.43333333,17366.41666666,17308.53333333,17461.66666666,17400.816666659997,,
1722239770000,17001.61666666,16933.8,17001.55,16934.86666666,17077.03333333,17024.9,,
1722239775000,16667.05,16664.78333333,16667.066666659997,16661.33333333,16667.25,16667.13333333,,
1722239780000,16669.55,16664.0,16669.566666659997,16662.21666666,16669.68333333,16669.516666659998,,
1722239785000,16669.5,16667.45,16669.483333329998,16668.25,16669.65,16669.316666659997,,
1722239790000,16666.91666666,16665.75,16666.88333333,16667.45,16666.85,16666.28333333,,
1722239795000,16669.85,16664.58333333,16669.8,16660.88333333,16670.1,16668.33333333,,
1722239800000,16666.93333333,16664.25,16666.91666666,16663.86666666,16667.233333329998,16664.86666666,,
1722239805000,16669.05,16666.78333333,16669.03333333,16667.516666659998,16668.93333333,16668.65,,
1722239810000,16672.266666659998,16667.93333333,16672.316666659997,16667.25,16671.95,16671.816666659997,,
1722239815000,16667.35,16667.46666666,16667.38333333,16668.983333329998,16667.45,16667.5,,
1722239820000,16663.13333333,16669.78333333,16663.1,16670.9,16664.35,16664.28333333,,
1722239825000,16673.566666659997,16676.95,16673.6,16673.6,16674.05,16673.93333333,,
1722239830000,16668.3,16665.816666659997,16668.33333333,16665.11666666,16668.53333333,16668.53333333,,
1722239835000,16668.86666666,16667.11666666,16668.88333333,16669.9,16668.816666659997,16668.7,,
1722239840000,16665.016666659998,16667.016666659998,16665.0,16669.33333333,16665.45,16664.93333333,,
1722239845000,,16665.816666659997,,16665.21666666,,,,
1722239850000,,,,,,,,
1722239870000,0.0,,,,0.0,,0.0,
1722239875000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1722239880000,1305.2833333333,1627.1166666666,1593.1666666666,1602.6833333333,1349.5,1584.2,1296.8833333333,
1722239885000,3152.4166666666,3479.26666667,3447.3,3431.53333333,3205.0666666666,3478.51666667,3136.3166666666,
1722239890000,4975.7,5269.81666667,5283.6,5226.98333333,5044.5,5285.33333333,4959.68333333,
1722239895000,6815.45,7137.95,7117.98333333,7039.76666666,6866.7,7105.36666666,6798.23333333,
1722239900000,8661.28333333,8906.48333333,8895.63333333,8840.58333333,8660.93333333,8899.28333333,8675.33333333,
1722239905000,10443.36666666,10719.11666666,10685.43333333,10651.98333333,10393.51666666,10736.81666666,10458.81666666,
1722239910000,12276.63333333,12577.31666666,12526.63333333,12499.48333333,12225.61666666,12559.63333333,12311.28333333,
1722239915000,13926.31666666,14102.35,14101.43333333,14101.68333333,13926.88333333,14102.31666666,13926.28333333,
1722239920000,15117.85,15294.25,15294.93333333,15294.26666666,15117.76666666,15294.3,15118.45,
1722239925000,16308.06666666,16482.06666666,16482.05,16482.03333333,16309.08333333,16482.01666666,16307.55,
1722239930000,17494.23333333,17674.81666666,17673.61666666,17674.3,17494.68333333,17674.85,17494.28333333,
1722239935000,18688.53333333,18866.2,18865.33333333,18865.55,18689.23333333,18866.1,18688.46666666,
1722239940000,18574.75,18427.68333333,18461.48333333,18452.0,18530.56666666,18470.58333333,18582.81666666,
1722239945000,17910.68333333,17758.58333333,17789.41666666,17805.3,17859.16666666,17759.28333333,17926.68333333,
1722239950000,17271.25,17165.58333333,17151.76666666,17208.85,17203.21666666,17150.0,17288.01666666,
1722239955000,16636.03333333,16482.13333333,16503.1,16581.3,16585.13333333,16514.75,16653.58333333,
1722239960000,15973.83333333,15908.43333333,15920.66666666,15975.66666666,15974.35,15916.18333333,15959.95,
1722239965000,15388.96666666,15288.31666666,15322.98333333,15356.31666666,15439.4,15270.7,15374.06666666,
1722239970000,14745.93333333,14622.31666666,14672.51666666,14699.65,14797.6,14639.98333333,14711.3,
1722239975000,14287.43333333,14288.133333329999,14286.95,14287.18333333,14286.9,14288.08333333,14286.88333333,
1722239980000,14286.71666666,14287.35,14285.55,14286.18333333,14286.85,14287.3,14285.33333333,
1722239985000,14286.41666666,14287.05,14280.91666666,14284.08333333,14285.41666666,14287.1,14286.3,
1722239990000,14291.36666666,14282.11666666,14283.18333333,14282.5,14290.91666666,14282.0,14290.95,
1722239995000,14284.3,14285.7,14285.56666666,14285.36666666,14283.6,14285.73333333,14284.25,
1722240000000,14286.81666666,14283.116666659998,14283.25,14283.216666659999,14286.766666659998,14283.116666659998,14286.93333333,
1722240005000,14295.48333333,14292.08333333,14293.18333333,14293.08333333,14294.35,14292.1,14295.25,
1722240010000,14299.33333333,14288.33333333,14286.83333333,14286.366666659998,14298.56666666,14288.43333333,14298.383333329999,
1722240015000,14286.68333333,14293.06666666,14292.05,14292.033333329999,14286.3,14293.016666659998,14286.18333333,
1722240020000,14293.45,14288.533333329999,14286.33333333,14286.33333333,14293.283333329999,14287.98333333,14292.966666659999,
1722240025000,14280.98333333,14279.4,14278.533333329999,14278.65,14280.4,14278.216666659999,14280.0,
1722240030000,14282.616666659998,14284.73333333,14285.616666659998,14285.616666659998,14281.65,14285.016666659998,14282.3,
1722240035000,14280.1,14276.766666659998,14278.83333333,14278.33333333,14277.33333333,14276.283333329999,14280.033333329999,
1722240040000,14282.466666659999,14276.95,14276.866666659998,14274.08333333,14281.116666659998,14276.966666659999,14283.4,
1722240045000,14285.866666659998,14286.8,14293.08333333,14289.75,14286.41666666,14286.73333333,14286.7,
1722240050000,14284.633333329999,14289.43333333,14287.93333333,14288.0,14285.516666659998,14289.8,14285.133333329999,
1722240055000,14289.31666666,14288.1,14284.783333329999,14287.466666659999,14289.4,14288.283333329999,14289.05,
1722240060000,14285.91666666,14292.43333333,14291.25,14291.25,14285.95,14292.533333329999,14285.783333329999,
1722240065000,14285.06666666,14285.75,14284.133333329999,14284.5,14285.05,14285.9,14285.216666659999,
1722240070000,14286.45,14285.133333329999,14283.95,14285.83333333,14286.45,14284.283333329999,14286.25,
1722240075000,,14286.43333333,14286.66666666,14286.68333333,,14286.3,,
1722240080000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1722240085000,,2062.0333333333,0.0,,2118.25,2117.3,2071.0833333333,
1722240090000,0.0,,0.0,0.0,0.0,,,
1722240095000,,,,,,,,
1722240120000,,0.0,,0.0,0.0,0.0,,
1722240125000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722240130000,1724.0666666666,1521.9,1724.0666666666,1521.9333333333,1521.9166666666,1521.9333333333,1659.4333333333,1724.0833333333
1722240135000,3282.05,3038.1833333333,3281.55,3036.4833333333,3035.9,3038.2,3221.5666666666,3271.0
1722240140000,4883.1,4659.65,4870.66666667,4660.25,4660.2,4659.73333333,4784.4,4859.73333333
1722240145000,6492.25,6249.58333333,6491.28333333,6254.31666667,6249.93333333,6249.63333333,6402.1,6441.61666667
1722240150000,8088.48333333,7888.5,8088.48333333,7882.78333333,7889.9,7880.65,8030.28333333,8075.15
1722240155000,9733.73333333,9510.43333333,9733.95,9513.65,9513.65,9512.9,9667.98333333,9687.91666666
1722240160000,11355.01666666,11117.4,11355.0,11118.13333333,11118.03333333,11117.55,11308.03333333,11306.8
1722240165000,12845.85,12697.05,12845.83333333,12697.5,12697.43333333,12697.23333333,12845.83333333,12845.81666666
1722240170000,13883.3,13739.18333333,13887.43333333,13739.4,13739.35,13739.2,13887.78333333,13887.81666666
1722240175000,14928.18333333,14775.45,14928.2,14776.18333333,14776.16666666,14775.55,14928.2,14928.18333333
1722240180000,15975.46666666,15815.93333333,15975.46666666,15816.38333333,15816.33333333,15816.28333333,15976.28333333,15976.41666666
1722240185000,17022.08333333,16857.83333333,17022.08333333,16858.55,16858.6,16858.3,17021.96666666,17022.08333333
1722240190000,16338.91666666,16384.73333333,16338.08333333,16384.98333333,16385.05,16384.95,16403.9,16339.13333333
1722240195000,15821.93333333,15913.43333333,15822.31666666,15915.96666666,15916.65,15913.95,15882.6,15833.15
1722240200000,15258.73333333,15332.61666666,15270.85,15332.63333333,15332.95,15332.71666666,15358.16666666,15283.0
1722240205000,14695.36666666,14779.4,14695.9,14774.9,14779.3,14779.51666666,14784.6,14743.55
1722240210000,14140.45,14182.7,14137.61666666,14189.31666666,14182.28333333,14190.65,14198.98333333,14153.23333333
1722240215000,13537.38333333,13606.78333333,13537.13333333,13603.9,13603.88333333,13604.35,13602.61666666,13582.63333333
1722240220000,12953.68333333,13041.55,12953.73333333,13041.46666666,13041.51666666,13041.5,13000.51666666,13001.78333333
1722240225000,12503.98333333,12502.96666666,12506.51666666,12503.11666666,12503.11666666,12502.81666666,12507.06666666,12506.88333333
1722240230000,12508.4,12501.05,12504.26666666,12501.05,12501.06666666,12500.96666666,12503.93333333,12503.9
1722240235000,12500.75,12504.53333333,12500.78333333,12504.2,12504.21666666,12504.5,12500.75,12500.76666666
1722240240000,12493.9,12509.65,12493.88333333,12509.55,12509.21666666,12509.28333333,12493.05,12492.93333333
1722240245000,12498.85,12505.866666659998,12498.83333333,12505.95,12505.883333329999,12505.366666659998,12499.0,12498.85
1722240250000,12494.06666666,12501.33333333,12494.9,12500.883333329999,12501.1,12501.016666659998,12493.73333333,12493.83333333
