,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709750470000,0.0,,,,,
1709750475000,0.0,,,,,
1709750480000,0.0,,,,,
1709750485000,0.0,,,,,
1709750490000,173.45,,,,,
1709750495000,845.7,,,,,
1709750500000,845.7,,,,,
1709750505000,845.7,,,,,
1709750510000,1350.95,,,,,
1709750515000,3113.7333333333,,,,,
1709750520000,5024.25,,,,,
1709750525000,6980.55,,,,,
1709750530000,8930.01666666,,,,,
1709750535000,10827.61666666,,,,,
1709750540000,12675.8,,,,,
1709750545000,14548.216666659999,,,,,
1709750550000,16281.16666666,,,,,
1709750555000,17328.18333333,,,,,
1709750560000,19272.68333333,,,,,
1709750565000,21195.03333333,,,,,
1709750570000,22671.316666659997,,,,,
1709750575000,22776.28333333,,,,,
1709750580000,22831.066666659997,,,,,
1709750585000,22906.58333333,,,,,
1709750590000,22978.96666666,,,,,
1709750595000,23054.9,,,,,
1709750600000,23228.78333333,,,,,
1709750605000,23189.36666666,,,,,
1709750610000,23209.766666659998,,,,,
1709750615000,23365.683333330002,,,,,
1709750620000,23441.03333333,,,,,
1709750625000,23533.48333333,,,,,
1709750630000,23569.933333330002,,,,,
1709750635000,23705.21666666,,,,,
1709750640000,23758.333333330003,,,,,
1709750645000,23746.8,,,,,
1709750650000,23563.78333333,,,,,
1709750655000,23623.016666659998,,,,,
1709750660000,23620.95,,,,,
1709750665000,23799.48333333,,,,,
1709750670000,23907.03333333,,,,,
1709750675000,24071.583333330003,,,,,
1709750680000,24080.86666666,,,,,
1709750685000,24104.1,,,,,
1709750690000,24090.21666666,,,,,
1709750695000,24098.95,,,,,
1709750700000,24107.383333330003,,,,,
1709750705000,24070.45,,,,,
1709750710000,24261.5,,,,,
1709750715000,24117.3,,,,,
1709750720000,24122.183333330002,,,,,
1709750725000,24014.91666666,,,,,
1709750730000,23880.183333330002,,,,,
1709750735000,23851.7,,,,,
1709750740000,23849.53333333,,,,,
1709750745000,23832.833333330003,,,,,
1709750750000,23855.7,,,,,
1709750755000,23782.55,,,,,
1709750760000,23738.05,,,,,
1709750765000,23792.316666659997,,,,,
1709750770000,23804.6,,,,,
1709750775000,23922.21666666,,,,,
1709750780000,23930.433333330002,,,,,
1709750785000,24050.5,,,,,
1709750790000,24186.6,,,,,
1709750795000,24205.083333330003,,,,,
1709750800000,24190.3,,,,,
1709750805000,24179.5,,,,,
1709750810000,24180.75,,,,,
1709750815000,24276.183333330002,,,,,
1709750820000,24321.16666666,,,,,
1709750825000,24310.883333330003,,,,,
1709750830000,24294.9,,,,,
1709750835000,24249.183333330002,,,,,
1709750840000,24238.066666659997,,,,,
1709750845000,24263.73333333,,,,,
1709750850000,,,,,,
1709750855000,0.0,,,,,
1709750860000,,,,,,
1709750905000,,0.0,,,,
1709750910000,0.0,0.0,,,,
1709750915000,0.0,520.6166666666,,,,
1709750920000,433.9166666666,1940.1833333332997,,,,
1709750925000,1869.8,3607.68333333,,,,
1709750930000,3531.5,5232.86666667,,,,
1709750935000,5154.93333333,6846.4,,,,
1709750940000,6750.11666666,8532.81666666,,,,
1709750945000,8420.83333333,10076.6,,,,
1709750950000,9968.41666666,11505.96666666,,,,
1709750955000,11433.96666666,13112.75,,,,
1709750960000,13025.98333333,14721.18333333,,,,
1709750965000,14654.75,16473.85,,,,
1709750970000,16387.1,18230.016666659998,,,,
1709750975000,18153.38333333,19383.566666659997,,,,
1709750980000,19388.83333333,19638.7,,,,
1709750985000,19615.46666666,19394.41666666,,,,
1709750990000,19395.816666659997,19523.08333333,,,,
1709750995000,19528.63333333,19662.983333329998,,,,
1709751000000,19684.18333333,19751.03333333,,,,
1709751005000,19785.36666666,19847.483333329998,,,,
1709751010000,19868.983333329998,20097.05,,,,
1709751015000,20076.05,20283.58333333,,,,
1709751020000,20302.16666666,20417.33333333,,,,
1709751025000,20415.58333333,20485.86666666,,,,
1709751030000,20503.58333333,20509.65,,,,
1709751035000,20505.11666666,20639.0,,,,
1709751040000,20636.25,20778.85,,,,
1709751045000,20791.9,21062.13333333,,,,
1709751050000,21065.266666659998,21036.566666659997,,,,
1709751055000,21024.78333333,21066.88333333,,,,
1709751060000,21050.9,21082.6,,,,
1709751065000,21096.1,21261.85,,,,
1709751070000,21251.983333329998,21334.5,,,,
1709751075000,21360.5,21333.88333333,,,,
1709751080000,21334.36666666,21407.0,,,,
