Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
0,0.0,1000.0,0.0,0.0,22637.0,467.0,1
5,0.0,1000.0,0.0,0.0,22637.0,17.0,1
10,0.0,0.0,0.0,0.0,969063.0,142.0,1
15,199.9166666666,0.0,0.0,0.0,1527513.0,155.0,1
20,532.9,0.0,0.0,0.0,4258168.0,482.0,1
25,779.6333333333,0.0,0.0,0.0,20978835.0,1085.0,1
30,10755.61666666,53.0,0.0,74.0,33559901.0,1320.0,1
35,19442.55,203.0,0.0,168.0,33559901.0,1320.0,1
40,19442.55,317.0,121.0,272.0,27161471.0,619.0,1
45,20352.7,403.0,325.0,464.0,14653360.0,1961.0,1
50,24604.516666659998,467.0,398.0,496.0,16000603.0,779.0,1
55,28225.566666659997,520.0,468.0,548.0,23215680.0,761.0,1
60,35111.51666666,561.0,511.0,569.0,18255486.0,2455.0,1
65,38578.68333333,598.0,600.0,647.0,18255486.0,2455.0,1
70,42572.35,739.0,706.0,746.0,24425121.0,8756.0,1
75,42372.43333333,819.0,789.0,830.0,11672488.0,417.0,1
80,45921.7,896.0,959.0,995.0,11672488.0,417.0,1
85,50501.05,973.0,1000.0,1000.0,14834013.0,11448.0,1
90,40525.06666666,992.0,1000.0,1000.0,9305207.0,393.0,1
95,35465.88333333,996.0,1000.0,1000.0,9305207.0,393.0,1
100,41939.53333333,996.0,1000.0,1000.0,9305207.0,393.0,1
105,41029.38333333,996.0,1000.0,1000.0,14787297.0,374.0,1
110,38496.66666666,997.0,1000.0,1000.0,14787297.0,374.0,1
115,40113.233333330005,997.0,1000.0,1000.0,24054905.0,8114.0,1
120,33227.28333333,1000.0,1000.0,1000.0,5648144.0,365.0,1
125,30322.766666659998,1000.0,1000.0,1000.0,14705113.0,1888.0,1
130,31975.36666666,1000.0,1000.0,1000.0,20321654.0,712.0,1
135,37796.75,1000.0,1000.0,1000.0,33831375.0,1076.0,1
140,39630.7,1000.0,1000.0,1000.0,44847816.0,994.0,1
145,40971.43333333,1000.0,1000.0,1000.0,54340503.0,1288.0,1
150,46730.3,1000.0,1000.0,1000.0,34142329.0,1830.0,1
155,49284.96666666,1000.0,1000.0,1000.0,46115335.0,2487.0,1
160,49402.766666660005,1000.0,1000.0,1000.0,57166820.0,1106.0,1
165,55859.91666666001,1000.0,1000.0,1000.0,54943028.0,1134.0,1
170,60421.116666660004,1000.0,1000.0,1000.0,54943028.0,1134.0,1
175,58735.016666660005,1000.0,1000.0,1000.0,64057140.0,7017.0,1
180,59047.866666660004,1000.0,1000.0,1000.0,64057140.0,7017.0,1
185,59366.85,1000.0,1000.0,1000.0,64057140.0,7017.0,1
190,53720.58333333,1000.0,1000.0,1000.0,64057140.0,7017.0,1
195,47899.2,1000.0,1000.0,1000.0,9801098.0,395.0,1
200,42505.11666666,1000.0,1000.0,1000.0,16027789.0,665.0,1
205,41895.01666666,999.0,1000.0,1000.0,21182825.0,868.0,1
210,42350.35,999.0,1000.0,1000.0,32256388.0,1213.0,1
215,42427.56666666,999.0,1000.0,1000.0,33637324.0,1753.0,1
220,43491.83333333,999.0,1000.0,1000.0,42383193.0,1065.0,1
225,43198.8,999.0,1000.0,1000.0,46209520.0,999.0,1
230,43475.7,999.0,1000.0,1000.0,57646359.0,1097.0,1
235,45302.95,999.0,1000.0,1000.0,66551343.0,1367.0,1
240,,,,,66551343.0,1367.0,0
245,,,,,,,0
