Parallelism,Throughput,ThroughputStdErr,BusyTime,BusyTimeStdErr
0,0.0,0.0,,
1,31180.493162390125,1443.2567290219538,953.5263157894736,11.580898066607743
2,40114.4602409579,1868.4390227515796,735.7530120481928,8.715059943210907
3,64896.56168830294,2713.287351162964,749.7532467532468,7.203396609846098
4,81948.3257575635,2947.02772542873,675.577922077922,4.278233484189563
5,91894.6069263912,3196.016928019432,543.5818181818182,5.936878499600397
6,96755.96996122127,2716.3569619998484,484.24418604651163,5.363987991971298
